GeneID,locus,avg mIFOR,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
BMP4,NW_005054303.1:13851457-13865946,0,0,-3.3,0.0,0.0,0.87,NA,no,0,0,0
CORIN,NW_005054297.1:12216682-12335564,1,3,1.0,-1.6,1.6,0.26,0.89,no,0,1,0
LOC115947742,NW_005054312.1:965620-976263,2,5,1.8,-1.4,1.4,0.10,0.72,no,0,1,0
TRIM9,NW_005054303.1:14636919-14710919,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
VEGFD,NW_005054403.1:2230802-2267408,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
IGSF3,NW_005054338.1:2997858-3065291,6,1,1.8,2.9,2.9,0.01,0.36,no,0,1,0
NOVA1,NW_005054301.1:11594579-11731339,2,0,0.0,2.4,2.4,0.43,NA,no,0,1,0
MEOX2,NW_005054307.1:1495548-1547143,1,1,0.0,-0.1,0.1,0.97,1.00,no,0,0,0
SCN4A,NW_005054839.1:1081-31442,1,2,0.6,-0.8,0.8,0.66,0.98,no,0,0,0
PIFO,NW_005054512.1:68907-76056,2,0,0.0,3.0,3.0,0.13,0.77,no,0,1,0
COL4A2,NW_005054315.1:2079501-2222128,1,2,0.6,-1.5,1.5,0.27,0.89,no,0,1,0
GPRIN1,NW_005054308.1:9084029-9089114,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
PCDH18,NW_005054668.1:152674-163095,0,1,-1.0,-2.1,2.1,0.43,0.95,no,0,1,0
CLEC3B,NW_005054361.1:1099433-1106308,1,0,-1.0,0.7,0.7,0.76,0.99,no,0,0,0
ARL11,NW_005054322.1:4672739-4673645,1,1,0.0,0.4,0.4,0.83,0.99,no,0,0,0
COLCA2,NW_005054449.1:133379-140205,0,1,-1.0,-3.0,3.0,0.43,NA,no,0,1,0
FABP1,NW_005054479.1:302081-305323,0,1,-1.0,-3.0,3.0,0.20,0.84,no,0,1,0
ITGB1BP2,NW_005054314.1:7836893-7842756,2,2,1.0,-0.2,0.2,0.88,1.00,no,0,0,0
LOC102037127,NW_005054573.1:629409-631136,2,0,0.0,3.0,3.0,0.14,0.78,no,0,1,0
FST,NW_005054335.1:3754433-3758390,1,0,-1.0,1.6,1.6,0.58,0.98,no,0,1,0
ARHGEF26,NW_005054309.1:11397769-11423902,0,0,-3.3,0.0,0.0,0.86,1.00,no,0,0,0
LOC115949179,NW_005054943.1:14436-24255,6,7,2.7,-0.2,0.2,0.74,0.99,no,0,0,0
LOC102034373,NW_005054610.1:438325-443278,3,1,1.0,0.9,0.9,0.61,0.98,no,0,0,0
SYT2,NW_005054425.1:843802-852149,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
NEK11,NW_005054361.1:3489795-3572409,2,1,0.6,0.5,0.5,0.76,0.99,no,0,0,0
TXLNB,NW_005054316.1:4085225-4118780,0,0,-3.3,0.0,0.0,0.42,0.95,no,0,0,0
LOC115947830,NW_005054320.1:7849265-7849403,0,1,-1.0,-2.3,2.3,0.26,0.88,no,0,1,0
LOC115948572,NW_005054435.1:223954-230270,1,10,2.5,-3.0,3.0,0.00,0.24,no,1,1,0
LOC115948326,NW_005054376.1:1151013-1155343,0,2,0.0,-2.2,2.2,0.10,0.73,no,0,1,0
LOC102032310,NW_005054762.1:28344-29267,0,1,-1.0,-3.0,3.0,0.13,0.78,no,0,1,0
LYPD1,NW_005054298.1:5715438-5730957,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
LOC115948858,NW_005054568.1:614159-616588,3,1,1.0,1.3,1.3,0.53,0.97,no,0,1,0
CAMK4,NW_005054554.1:267510-356030,0,1,-1.0,-3.0,3.0,0.54,NA,no,0,1,0
CNKSR1,NW_005054436.1:664792-665996,6,10,3.0,-0.7,0.7,0.30,0.90,no,1,0,0
KIF18B,NW_005054518.1:436914-442644,0,2,0.0,-3.0,3.0,0.16,0.80,no,0,1,0
ARTN,NW_005054347.1:2365842-2377690,3,0,0.6,2.7,2.7,0.01,0.33,no,0,1,0
LOC102038030,NW_005054654.1:167830-182261,0,1,-1.0,-2.2,2.2,0.55,NA,no,0,1,0
SUSD4,NW_005054602.1:141313-170678,3,2,1.3,0.9,0.9,0.47,0.96,no,0,0,0
LSMEM2,NW_005054339.1:3144645-3148231,4,3,1.8,0.5,0.5,0.68,0.98,no,0,0,0
CUNH16orf71,NW_005054383.1:1964995-2054872,1,0,-1.0,1.1,1.1,0.52,0.97,no,0,1,0
LMO7,NW_005054327.1:3940526-4036890,0,0,-3.3,0.0,0.0,0.98,1.00,no,0,0,0
LOC102041460,NW_005054364.1:1989896-2012132,0,4,1.0,-2.9,2.9,0.02,0.42,no,0,1,0
LOC102036844,NW_005054654.1:190710-206260,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC115948242,NW_005054366.1:2402101-2405008,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC115949453,NW_005062391.1:263-1036,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
SIM1,NW_005054558.1:478545-527084,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
TGFA,NW_005054694.1:168450-173747,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
ZP2,NW_005054319.1:4532494-4538210,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
IHH,NW_005054298.1:14070987-14077237,0,1,-1.0,-0.2,0.2,0.89,1.00,no,0,0,0
BICC1,NW_005054389.1:2419419-2476477,0,0,-3.3,0.0,0.0,0.75,0.99,no,0,0,0
LOC102037915,NW_005054566.1:630-2288,2,0,0.0,1.9,1.9,0.19,0.83,no,0,1,0
LOC115948839,NW_005054300.1:6136303-6136605,0,0,-3.3,0.0,0.0,0.58,0.98,no,0,0,0
CERCAM,NW_005054329.1:5851073-5855806,1,1,0.0,-0.8,0.8,0.68,0.98,no,0,0,0
EPB41L4B,NW_005054311.1:2540050-2731806,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
FBXO41,NW_005054568.1:616689-636853,4,2,1.6,1.4,1.4,0.44,0.95,no,0,1,0
GDF15,NW_005054621.1:424722-428112,2,2,1.0,-0.7,0.7,0.56,0.98,no,0,0,0
GULP1,NW_005054298.1:29367397-29489834,1,3,1.0,-0.9,0.9,0.48,0.96,no,0,0,0
ILDR2,NW_005054338.1:2626303-2662146,0,0,-3.3,0.0,0.0,0.81,NA,no,0,0,0
LOC102037859,NW_005054654.1:135727-158440,4,4,2.0,-0.1,0.1,0.96,1.00,no,0,0,0
LOC102034816,NW_005054684.1:83057-107964,0,1,-1.0,-0.1,0.1,0.96,NA,no,0,0,0
PGF,NW_005054301.1:6150538-6162963,1,0,-1.0,1.5,1.5,0.48,0.96,no,0,1,0
LOC115948367,NW_005054385.1:2010605-2043858,2,1,0.6,1.8,1.8,0.18,0.81,no,0,1,0
NGFR,NW_005054697.1:160510-192197,0,1,-1.0,-2.6,2.6,0.42,NA,no,0,1,0
NUDT13,NW_005054594.1:478645-485568,0,1,-1.0,-2.1,2.1,0.35,0.92,no,0,1,0
CRACD,NW_005054297.1:14212553-14341300,1,1,0.0,-0.8,0.8,0.81,NA,no,0,0,0
LOC102043225,NW_005054312.1:468995-501744,0,1,-1.0,-1.9,1.9,0.48,0.96,no,0,1,0
SEMA3B,NW_005054339.1:3127825-3136226,2,2,1.0,0.5,0.5,0.69,0.98,no,0,0,0
LOC102033008,NW_005054373.1:653592-661684,0,2,0.0,-2.9,2.9,0.13,0.78,no,0,1,0
RNF150,NW_005054453.1:694614-801822,6,1,1.8,2.5,2.5,0.03,0.51,no,0,1,0
LOC115949002,NW_005054671.1:23708-23785,2,1,0.6,0.9,0.9,0.65,0.98,no,0,0,0
LOC102043341,NW_005054299.1:19885143-19896646,0,1,-1.0,-2.9,2.9,0.17,0.81,no,0,1,0
FOXL2,NW_005054388.1:195588-196586,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC102036779,NW_005054546.1:364525-376098,2,2,1.0,0.0,0.0,0.98,1.00,no,0,0,0
SLC5A11,NW_005054399.1:1947412-1960236,0,0,-3.3,0.0,0.0,0.90,NA,no,0,0,0
TRNAI-UAU,NW_005054299.1:6478169-6478262,2,0,0.0,1.9,1.9,0.59,0.98,no,0,1,0
F7,NW_005054315.1:3558010-3566407,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
KLHL4,NW_005054349.1:3549176-3588035,0,0,-3.3,0.0,0.0,0.84,NA,no,0,0,0
MAP1LC3C,NW_005054316.1:151222-153334,3,0,0.6,2.7,2.7,0.06,0.63,no,0,1,0
SLC12A3,NW_005054343.1:2653882-2663099,1,1,0.0,1.1,1.1,0.51,0.96,no,0,1,0
GYS2,NW_005054574.1:267349-308999,2,3,1.3,-0.7,0.7,0.51,0.96,no,0,0,0
LOC102034910,NW_005054430.1:1872456-1874415,1,0,-1.0,0.3,0.3,0.91,NA,no,0,0,0
LOC102037142,NW_005054314.1:119637-120950,0,0,-3.3,0.0,0.0,0.91,NA,no,0,0,0
LOC102040752,NW_005054772.1:81686-82435,5,1,1.6,2.4,2.4,0.04,0.57,no,0,1,0
MSH5,NW_005054306.1:12873798-12876215,0,0,-3.3,0.0,0.0,0.86,NA,no,0,0,0
NR5A2,NW_005054357.1:1323033-1396915,0,1,-1.0,-1.5,1.5,0.58,NA,no,0,1,0
LOC115948219,NW_005054362.1:2678117-2682485,1,1,0.0,-0.1,0.1,0.93,1.00,no,0,0,0
LOC115948400,NW_005054390.1:904826-918662,0,0,-3.3,0.0,0.0,0.96,NA,no,0,0,0
SPATA48,NW_005054464.1:405150-429781,1,0,-1.0,1.4,1.4,0.47,0.96,no,0,1,0
LOC115949339,NW_005056038.1:3152-4240,0,0,-3.3,0.0,0.0,0.76,0.99,no,0,0,0
COL8A2,NW_005054478.1:188529-197661,1,0,-1.0,0.7,0.7,0.86,NA,no,0,0,0
POU2F3,NW_005054593.1:437505-486704,0,0,-3.3,0.0,0.0,0.91,NA,no,0,0,0
ROR2,NW_005054355.1:2077796-2122764,1,1,0.0,0.9,0.9,0.57,0.98,no,0,0,0
ACE2,NW_005054403.1:2126419-2151148,2,1,0.6,0.5,0.5,0.84,0.99,no,0,0,0
INKA2,NW_005054566.1:154665-164669,3,0,0.6,2.9,2.9,0.05,0.62,no,0,1,0
DLL4,NW_005054312.1:1651725-1663126,3,1,1.0,1.6,1.6,0.32,0.91,no,0,1,0
THPO,NW_005054309.1:3689582-3691583,1,1,0.0,0.9,0.9,0.58,0.98,no,0,0,0
LOC115948425,NW_005054396.1:957611-981363,0,0,-3.3,0.0,0.0,0.81,0.99,no,0,0,0
LOC115948315,NW_005054373.1:3239728-3244022,2,2,1.0,-0.1,0.1,0.96,1.00,no,0,0,0
CUNH2orf72,NW_005054309.1:2663611-2669482,1,1,0.0,0.6,0.6,0.75,0.99,no,0,0,0
LOC115948313,NW_005054373.1:3382189-3465228,0,1,-1.0,-1.2,1.2,0.66,0.98,no,0,1,0
LOC102033478,NW_005054301.1:6475630-6486393,2,1,0.6,0.8,0.8,0.49,0.96,no,0,0,0
MC1R,NW_005054373.1:2671730-2672627,2,3,1.3,-0.3,0.3,0.74,0.99,no,0,0,0
EPHA8,NW_005054473.1:927776-1009063,2,2,1.0,-0.8,0.8,0.63,0.98,no,0,0,0
LOC102041364,NW_005054588.1:523432-524592,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
PYROXD2,NW_005054300.1:6205314-6209323,14,19,4.0,-0.5,0.5,0.38,0.93,no,2,0,0
LOC102036737,NW_005055099.1:714-3954,0,0,-3.3,0.0,0.0,0.97,NA,no,0,0,0
PANX2,NW_005054324.1:6100376-6122252,1,0,-1.0,2.2,2.2,0.42,NA,no,0,1,0
CACNB2,NW_005054307.1:10609722-10720310,1,1,0.0,1.1,1.1,0.51,0.96,no,0,1,0
FIGN,NW_005054298.1:15915251-16018838,1,0,-1.0,1.5,1.5,0.62,NA,no,0,1,0
TAFA3,NW_005054566.1:480050-489677,1,1,0.0,0.9,0.9,0.61,0.98,no,0,0,0
LOC102038795,NW_005054366.1:3679548-3683183,2,1,0.6,1.8,1.8,0.09,0.71,no,0,1,0
ZFHX4,NW_005054423.1:1915694-2068890,1,0,-1.0,1.8,1.8,0.59,0.98,no,0,1,0
BHLHE41,NW_005054414.1:2036856-2038945,4,3,1.8,0.3,0.3,0.79,0.99,no,0,0,0
CUTA,NW_005054329.1:2064239-2072040,1,0,-1.0,1.5,1.5,0.48,0.96,no,0,1,0
LOC115948953,NW_005054648.1:198812-213274,9,4,2.7,1.2,1.2,0.36,0.93,no,0,1,0
MAB21L4,NW_005054380.1:2457596-2461605,2,1,0.6,0.7,0.7,0.67,0.98,no,0,0,0
SALL3,NW_005054325.1:1347866-1373372,1,1,0.0,0.3,0.3,0.83,0.99,no,0,0,0
CTNND2,NW_005054340.1:409461-1045148,2,0,0.0,1.9,1.9,0.24,0.87,no,0,1,0
GPR19,NW_005054326.1:2983309-2993633,2,1,0.6,0.2,0.2,0.92,1.00,no,0,0,0
HSPB7,NW_005054475.1:711958-712986,0,2,0.0,-2.2,2.2,0.14,0.78,no,0,1,0
LOC102044539,NW_005054589.1:218363-222842,2,2,1.0,-0.1,0.1,0.96,1.00,no,0,0,0
MCAM,NW_005054593.1:138-6966,318,504,8.7,-0.7,0.7,0.41,0.94,no,2,0,0
KLHL38,NW_005054321.1:5236493-5243065,2,4,1.6,-1.0,1.0,0.40,0.94,no,0,1,0
STEAP2,NW_005054307.1:8090412-8106780,2,0,0.0,2.6,2.6,0.36,NA,no,0,1,0
CDCP1,NW_005054361.1:1074176-1087751,0,2,0.0,-2.2,2.2,0.21,0.85,no,0,1,0
LOC115949036,NW_005054710.1:85693-88006,0,0,-3.3,0.0,0.0,0.61,0.98,no,0,0,0
LOC115949358,NW_005056457.1:1175-2813,4,3,1.8,0.1,0.1,0.92,1.00,no,0,0,0
TPPP3,NW_005054343.1:3556578-3558733,167,42,6.7,2.0,2.0,0.00,0.23,no,2,1,0
CACFD1,NW_005054329.1:3683013-3690360,1,0,-1.0,1.5,1.5,0.48,0.96,no,0,1,0
KCNJ9,NW_005054787.1:74210-76654,0,2,0.0,-2.8,2.8,0.08,0.68,no,0,1,0
SALL4,NW_005054356.1:3467901-3481724,3,3,1.6,0.4,0.4,0.81,0.99,no,0,0,0
DISP3,NW_005054446.1:1537181-1561173,0,0,-3.3,0.0,0.0,0.62,NA,no,0,0,0
LOC115949125,NW_005054786.1:38591-39876,2,0,0.0,2.7,2.7,0.03,0.51,no,0,1,0
SH2D1B,NW_005054391.1:2971985-2981205,2,1,0.6,1.6,1.6,0.38,0.94,no,0,1,0
MALL,NW_005054341.1:4600798-4603307,18,11,3.9,0.7,0.7,0.31,0.91,no,2,0,0
LOC115948377,NW_005054386.1:565653-599422,0,0,-3.3,0.0,0.0,0.77,NA,no,0,0,0
LOC115948220,NW_005054299.1:17135345-17155813,0,1,-1.0,-1.9,1.9,0.64,NA,no,0,1,0
CLCN2,NW_005054309.1:3661822-3668193,1,3,1.0,-2.8,2.8,0.04,0.56,no,0,1,0
LOC115947763,NW_005054313.1:6317109-6322106,1,1,0.0,0.6,0.6,0.77,0.99,no,0,0,0
LOC115948250,NW_005054366.1:2882762-2884358,1,0,-1.0,0.9,0.9,0.63,0.98,no,0,0,0
AMPH,NW_005054393.1:1750-57973,0,1,-1.0,-1.9,1.9,0.36,0.93,no,0,1,0
RAB26,NW_005054399.1:1770953-1801286,2,1,0.6,0.6,0.6,0.68,0.98,no,0,0,0
ADGRD1,NW_005054362.1:281259-393187,0,1,-1.0,-2.2,2.2,0.19,0.83,no,0,1,0
RHOJ,NW_005054303.1:10154293-10214859,1,4,1.3,-2.8,2.8,0.02,0.48,no,0,1,0
TSHZ3,NW_005054408.1:866174-870960,0,0,-3.3,0.0,0.0,0.99,NA,no,0,0,0
LOC102033814,NW_005054695.1:157288-165719,3,4,1.8,-0.2,0.2,0.83,0.99,no,0,0,0
BCAN,NW_005054546.1:46960-66838,0,1,-1.0,-2.8,2.8,0.16,0.81,no,0,1,0
LOC102044307,NW_005054383.1:2704708-2707677,0,2,0.0,-2.8,2.8,0.29,0.90,no,0,1,0
KIAA1549,NW_005054326.1:5455009-5529011,0,1,-1.0,-1.3,1.3,0.39,0.94,no,0,1,0
CADPS2,NW_005054324.1:3560005-3784064,7,2,2.2,1.9,1.9,0.06,0.64,no,0,1,0
PTPN13,NW_005054304.1:4007782-4041970,2,0,0.0,1.7,1.7,0.19,0.83,no,0,1,0
LOC102038096,NW_005054297.1:30408019-30420174,4,5,2.2,-0.3,0.3,0.73,0.98,no,0,0,0
LOC115947919,NW_005054330.1:1832903-1839020,2,2,1.0,0.4,0.4,0.69,0.98,no,0,0,0
NMNAT3,NW_005054380.1:3319848-3332403,8,11,3.2,-0.6,0.6,0.43,0.95,no,1,0,0
FTCD,NW_005054661.1:201717-207456,0,0,-3.3,0.0,0.0,0.81,NA,no,0,0,0
NEK5,NW_005054322.1:5738946-5763930,4,5,2.2,-0.5,0.5,0.56,0.97,no,0,0,0
TACSTD2,NW_005054345.1:3639606-3640535,1,1,0.0,0.3,0.3,0.91,NA,no,0,0,0
EFCAB2,NW_005054299.1:14626920-14647084,0,1,-1.0,-1.2,1.2,0.63,0.98,no,0,1,0
LOC102044263,NW_005054570.1:287590-293369,7,6,2.7,0.3,0.3,0.75,0.99,no,0,0,0
FRMD1,NW_005054299.1:21951609-21982251,1,2,0.6,-1.2,1.2,0.58,0.98,no,0,1,0
LOC102038265,NW_005055390.1:2901-11195,1,1,0.0,-0.4,0.4,0.81,0.99,no,0,0,0
ESYT3,NW_005054298.1:7502676-7533217,0,0,-3.3,0.0,0.0,0.88,1.00,no,0,0,0
COL9A2,NW_005054478.1:1069597-1087306,4,2,1.6,0.7,0.7,0.51,0.96,no,0,0,0
ENOX1,NW_005054322.1:2187726-2473272,1,2,0.6,-0.4,0.4,0.79,0.99,no,0,0,0
SFRP5,NW_005054300.1:6148640-6158484,0,1,-1.0,-1.0,1.0,0.62,0.98,no,0,0,0
TGFBI,NW_005054308.1:3754430-3776370,324,47,7.5,2.8,2.8,0.00,0.20,no,2,1,0
TRNAS-GCU-2,NW_005054661.1:220651-220732,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
TTC36,NW_005054447.1:1509748-1510627,0,1,-1.0,-1.4,1.4,0.42,0.95,no,0,1,0
COL1A2,NW_005054307.1:6113857-6152193,0,2,0.0,-2.8,2.8,0.32,0.91,no,0,1,0
DAW1,NW_005054371.1:1899264-1922196,0,0,-3.3,0.0,0.0,0.73,0.98,no,0,0,0
LOC102035560,NW_005054313.1:10161630-10169194,2,0,0.0,2.7,2.7,0.22,0.85,no,0,1,0
IL22,NW_005054310.1:6196396-6198489,1,3,1.0,-2.2,2.2,0.18,0.82,no,0,1,0
CDH20,NW_005054359.1:796099-833851,3,2,1.3,0.9,0.9,0.39,0.94,no,0,0,0
MMP28,NW_005054387.1:1038706-1048858,0,1,-1.0,-1.1,1.1,0.50,0.96,no,0,1,0
NR1H4,NW_005054331.1:5819951-5855856,0,0,-3.3,0.0,0.0,0.86,NA,no,0,0,0
LOC102045108,NW_005054680.1:109394-113159,0,1,-1.0,-2.8,2.8,0.48,NA,no,0,1,0
LOC102034982,NW_005061863.1:536-1104,2,1,0.6,1.8,1.8,0.20,0.84,no,0,1,0
IGFBP2,NW_005054298.1:12970641-12976239,1,0,-1.0,2.2,2.2,0.25,0.87,no,0,1,0
LOC102037045,NW_005054330.1:412037-420921,1,1,0.0,0.6,0.6,0.77,0.99,no,0,0,0
LOC115947920,NW_005054330.1:2559792-2573482,4,3,1.8,0.7,0.7,0.44,0.95,no,0,0,0
LOC102037338,NW_005054479.1:359436-360843,3,2,1.3,0.6,0.6,0.55,0.97,no,0,0,0
MMRN1,NW_005054304.1:7321834-7362138,1,4,1.3,-2.8,2.8,0.12,0.77,no,0,1,0
CORO2B,NW_005054366.1:2836350-2853725,2,1,0.6,1.1,1.1,0.56,0.98,no,0,1,0
EMILIN3,NW_005054337.1:4500538-4574899,1,1,0.0,0.4,0.4,0.83,0.99,no,0,0,0
RNF186,NW_005054473.1:352937-354833,1,2,0.6,-1.6,1.6,0.38,0.94,no,0,1,0
THSD4,NW_005054313.1:7444094-7662447,0,1,-1.0,-2.5,2.5,0.57,NA,no,0,1,0
LOC115947764,NW_005054313.1:969023-1003078,1,1,0.0,-0.3,0.3,0.90,1.00,no,0,0,0
PAWR,NW_005054310.1:1844365-1908377,1,0,-1.0,2.1,2.1,0.55,NA,no,0,1,0
TRHDE,NW_005054310.1:4491513-4694171,1,2,0.6,-0.9,0.9,0.54,0.97,no,0,0,0
PRRX2,NW_005054329.1:5138717-5142584,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
ARID3C,NW_005054471.1:1124394-1141920,0,0,-3.3,0.0,0.0,0.97,1.00,no,0,0,0
CFI,NW_005054304.1:13185469-13199970,2,1,0.6,0.2,0.2,0.90,1.00,no,0,0,0
DDAH1,NW_005054336.1:797491-814545,0,2,0.0,-2.8,2.8,0.14,0.79,no,0,1,0
LOC115949395,NW_005054301.1:13475439-13482404,1,3,1.0,-1.3,1.3,0.38,0.93,no,0,1,0
TPPP,NW_005054325.1:148863-207501,3,1,1.0,1.5,1.5,0.17,0.81,no,0,1,0
SPIC,NW_005054326.1:4918045-4924534,1,1,0.0,0.4,0.4,0.79,0.99,no,0,0,0
PAQR9,NW_005054371.1:3019129-3025833,1,1,0.0,-0.6,0.6,0.75,0.99,no,0,0,0
SH3D19,NW_005054297.1:30281278-30345083,4,2,1.6,0.9,0.9,0.28,0.89,no,0,0,0
ZBTB40,NW_005054473.1:1042662-1080777,4,4,2.0,0.1,0.1,0.90,1.00,no,0,0,0
ALX3,NW_005054425.1:1932509-1938377,0,0,-3.3,0.0,0.0,0.70,NA,no,0,0,0
LOC115949140,NW_005054806.1:1656-5631,5,2,1.8,1.2,1.2,0.19,0.83,no,0,1,0
SCG5,NW_005054301.1:14101721-14129753,3,1,1.0,2.1,2.1,0.06,0.63,no,0,1,0
ABL2,NW_005054493.1:420765-439375,2,0,0.0,2.4,2.4,0.13,0.77,no,0,1,0
LOC102041111,NW_005054343.1:1443131-1455073,0,1,-1.0,-2.7,2.7,0.42,NA,no,0,1,0
LOC106632109,NW_005054791.1:51400-52426,0,1,-1.0,-1.7,1.7,0.27,0.89,no,0,1,0
LOC115949270,NW_005055316.1:6954-7949,2,0,0.0,2.0,2.0,0.26,0.88,no,0,1,0
MID1,NW_005054382.1:690927-948540,1,1,0.0,0.1,0.1,0.95,1.00,no,0,0,0
TRNAL-AAG-3,NW_005054770.1:34151-34232,0,0,-3.3,0.0,0.0,0.75,0.99,no,0,0,0
LINGO1,NW_005054313.1:9699633-9841357,0,2,0.0,-2.7,2.7,0.12,0.77,no,0,1,0
REEP6,NW_005054491.1:1045673-1047694,1,0,-1.0,1.3,1.3,0.55,0.97,no,0,1,0
KCNMB2,NW_005054309.1:5566006-5703991,0,1,-1.0,-2.6,2.6,0.09,0.70,no,0,1,0
MMP11,NW_005054483.1:382975-415051,0,1,-1.0,-2.3,2.3,0.25,0.88,no,0,1,0
IL17RD,NW_005054339.1:4906831-4965629,1,1,0.0,-0.2,0.2,0.94,1.00,no,0,0,0
SLC35D3,NW_005054316.1:3150718-3152501,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
CTNNA2,NW_005054452.1:216949-693949,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
AR,NW_005054456.1:801395-840202,1,0,-1.0,1.6,1.6,0.48,0.96,no,0,1,0
RGS11,NW_005054383.1:2793963-2800202,0,1,-1.0,-2.7,2.7,0.12,0.77,no,0,1,0
LOC102043453,NW_005054307.1:6329813-6360600,1,1,0.0,-0.3,0.3,0.82,0.99,no,0,0,0
STRA8,NW_005054331.1:6383757-6397579,1,1,0.0,0.3,0.3,0.79,0.99,no,0,0,0
FOXM1,NW_005054444.1:1505161-1514163,4,2,1.6,0.7,0.7,0.45,0.95,no,0,0,0
LOC115948592,NW_005054437.1:848691-848818,2,1,0.6,1.1,1.1,0.41,0.94,no,0,1,0
KIAA1549L,NW_005054487.1:855428-933850,1,0,-1.0,1.5,1.5,0.48,0.96,no,0,1,0
FRMD5,NW_005054366.1:3389094-3404760,0,1,-1.0,-2.7,2.7,0.57,NA,no,0,1,0
LOC102043658,NW_005054474.1:625854-629487,0,1,-1.0,-2.7,2.7,0.57,NA,no,0,1,0
LOC102044745,NW_005054367.1:1544346-1552080,0,1,-1.0,-2.7,2.7,0.57,NA,no,0,1,0
LOC106631905,NW_005054378.1:219638-220210,2,2,1.0,0.2,0.2,0.88,1.00,no,0,0,0
LOC115948316,NW_005054373.1:770252-780052,0,1,-1.0,-2.7,2.7,0.57,NA,no,0,1,0
RNF17,NW_005054302.1:3998726-4038672,0,1,-1.0,-2.7,2.7,0.54,NA,no,0,1,0
LOC102034338,NW_005054319.1:4419801-4429200,1,1,0.0,0.3,0.3,0.91,1.00,no,0,0,0
FBXO16,NW_005054576.1:453072-484199,0,0,-3.3,0.0,0.0,0.91,NA,no,0,0,0
LOC102043931,NW_005054901.1:1174-1620,3,3,1.6,0.3,0.3,0.81,0.99,no,0,0,0
CDH5,NW_005054445.1:1224643-1253522,1,0,-1.0,2.5,2.5,0.40,0.94,no,0,1,0
MFAP5,NW_005054444.1:1173928-1184898,1,0,-1.0,2.2,2.2,0.51,NA,no,0,1,0
WDR27,NW_005054348.1:5169625-5259155,0,1,-1.0,-2.7,2.7,0.28,NA,no,0,1,0
CLDN2,NW_005054314.1:8349889-8350606,0,0,-3.3,0.0,0.0,0.55,0.97,no,0,0,0
LOC106631842,NW_005054336.1:1926655-1927548,0,0,-3.3,0.0,0.0,0.98,NA,no,0,0,0
CLSTN3,NW_005054320.1:8284600-8297079,4,3,1.8,0.6,0.6,0.56,0.98,no,0,0,0
LHFPL6,NW_005054322.1:6331177-6467594,8,9,3.1,-0.2,0.2,0.85,0.99,no,0,0,0
LOC102044655,NW_005054475.1:11984-16336,1,0,-1.0,2.2,2.2,0.15,0.80,no,0,1,0
SPP1,NW_005054304.1:666156-670576,2,0,0.0,2.1,2.1,0.42,0.95,no,0,1,0
LOC102043323,NW_005054474.1:382164-453386,0,0,-3.3,0.0,0.0,0.84,0.99,no,0,0,0
PLEKHA7,NW_005054410.1:1861183-1958112,1,0,-1.0,2.3,2.3,0.37,0.93,no,0,1,0
GRIN3B,NW_005054491.1:665451-670056,1,2,0.6,-0.7,0.7,0.51,0.96,no,0,0,0
LOC102044419,NW_005054440.1:459006-474712,0,1,-1.0,-1.6,1.6,0.59,0.98,no,0,1,0
LOC106632038,NW_005054586.1:529926-548853,1,0,-1.0,2.0,2.0,0.45,NA,no,0,1,0
LOC115947701,NW_005054309.1:3642988-3643064,0,0,-3.3,0.0,0.0,0.59,0.98,no,0,0,0
PRSS23,NW_005054302.1:13099381-13104967,1,1,0.0,-0.5,0.5,0.85,NA,no,0,0,0
LOC102035908,NW_005054308.1:1712452-1715427,2,1,0.6,0.3,0.3,0.87,1.00,no,0,0,0
PCDH8,NW_005054322.1:1092114-1101779,0,0,-3.3,0.0,0.0,0.84,NA,no,0,0,0
CIB2,NW_005054313.1:8632698-8661029,0,0,-3.3,0.0,0.0,0.97,1.00,no,0,0,0
GPR83,NW_005054302.1:10116198-10120226,2,2,1.0,0.1,0.1,0.91,1.00,no,0,0,0
HS3ST1,NW_005054297.1:371349-374019,0,0,-3.3,0.0,0.0,0.65,0.98,no,0,0,0
