Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg UCRA,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
6636,0.983,LOC102038971,mRNA,NW_005054432.1:1025631-1107058,+,-,172,272,7.794415866,-0.659,0.659,0.011403983,0.047749304,yes,2,0,0
9792,0.983,MCUB,mRNA,NW_005054304.1:13221435-13267741,-,-,374,738,9.118941073,-0.983,0.983,6.26613E-08,2.96698E-06,yes,2,0,0
10094,0.983,MRGBP,mRNA,NW_005054337.1:530723-534397,+,-,110,119,6.839203788,-0.123,0.123,0.631023072,0.769790302,no,2,0,0
11035,0.983,P4HB,mRNA,NW_005054578.1:280291-287900,+,-,7992,4840,12.64745843,0.723,0.723,8.38688E-05,0.001172153,yes,2,0,0
13115,0.983,SH3BGRL3,mRNA,NW_005054436.1:649193-650981,-,-,544,1076,9.661778098,-0.983,0.983,0.000591698,0.005200398,yes,2,0,0
15172,0.983,TTYH3,mRNA,NW_005054319.1:1454846-1493162,+,-,62,114,6.459431619,-0.883,0.883,0.006530352,0.031501614,yes,2,0,0
6762,0.982,LOC102039747,mRNA,NW_005054307.1:12199798-12210249,+,-,26,51,5.266786541,-0.982,0.982,0.004047916,0.022353403,yes,2,0,0
12112,0.982,RAB11FIP2,mRNA,NW_005054451.1:1277888-1310147,+,-,59,116,6.451211112,-0.982,0.982,0.003174374,0.018480202,yes,2,0,0
12814,0.982,SACS,mRNA,NW_005054302.1:2369089-2427258,+,-,44,66,5.781359714,-0.599,0.599,0.049511691,0.136648249,no,2,0,0
911,0.981,ATXN1,mRNA,NW_005054325.1:5860842-6016345,-,-,88,136,6.807354922,-0.64,0.64,0.012036254,0.049585787,yes,2,0,0
7028,0.981,LOC102041321,mRNA,NW_005054559.1:452525-456380,-,-,72,104,6.459431619,-0.524,0.524,0.050914719,0.13948286,no,2,0,0
9730,0.981,MASTL,mRNA,NW_005054360.1:1425009-1440858,-,-,37,27,5,0.455,0.455,0.226174875,0.392774326,no,2,0,0
14515,0.981,TMEM138,mRNA,NW_005054416.1:2399404-2401108,-,-,31,62,5.539158811,-0.981,0.981,1.31142E-05,0.000259382,yes,2,0,0
247,0.98,ADK,mRNA,NW_005054300.1:12956572-13225912,+,-,9700,4919,12.83555701,0.98,0.98,5.89184E-07,2.01491E-05,yes,2,0,0
7603,0.98,LOC102045107,mRNA,NW_005054637.1:349310-362927,+,-,26,52,5.285402219,-0.98,0.98,0.002316306,0.014767801,yes,2,0,0
12204,0.98,RAI2,mRNA,NW_005054403.1:982774-984712,-,-,21,26,4.554588852,-0.308,0.308,0.366136525,0.544336305,no,2,0,0
12783,0.98,RUNX3,mRNA,NW_005054436.1:920993-953793,+,-,87,171,7.011227255,-0.98,0.98,0.004337624,0.023450127,yes,2,0,0
12233,0.979,RAPGEF1,mRNA,NW_005054329.1:4391654-4444106,+,-,77,152,6.839203788,-0.979,0.979,9.98881E-05,0.001336535,yes,2,0,0
2543,0.978,DCTN1,mRNA,NW_005054722.1:19470-74422,+,-,14081,9943,13.55218876,0.502,0.502,0.003672853,0.020760267,yes,2,0,0
5388,0.978,LDLRAD3,mRNA,NW_005054312.1:7215702-7270428,-,-,39,73,5.807354922,-0.895,0.895,0.005267174,0.026936514,yes,2,0,0
11010,0.978,OXNAD1,mRNA,NW_005054333.1:1648064-1666546,-,-,16,25,4.357552005,-0.69,0.69,0.016526655,0.062449332,no,2,0,0
12234,0.978,RAPGEF2,mRNA,NW_005054297.1:27040378-27167863,-,-,42,82,5.95419631,-0.978,0.978,0.005061378,0.026234738,yes,2,0,0
839,0.977,ATP11B,mRNA,NW_005054309.1:4286885-4437877,-,-,136,267,7.654636029,-0.977,0.977,0.004049142,0.022353403,yes,2,0,0
14184,0.977,TBC1D24,mRNA,NW_005054383.1:472000-503568,-,-,24,48,5.169925001,-0.977,0.977,0.001173248,0.008828563,yes,2,0,0
7133,0.976,LOC102042152,pseudogene,NW_005054441.1:1375957-1381291,+,-,121,238,7.487840034,-0.976,0.976,0.002276384,0.0146068,yes,2,0,0
7141,0.976,LOC102042200,mRNA,NW_005054447.1:539770-541341,+,-,326,641,8.917372079,-0.976,0.976,0.011044887,0.046596333,yes,2,0,0
12036,0.976,PTPRB,mRNA,NW_005054310.1:5390296-5451683,+,-,25,50,5.22881869,-0.976,0.976,0.004663602,0.024718506,yes,2,0,0
12445,0.975,RHBDD1,mRNA,NW_005054371.1:1623552-1646519,+,-,1452,2855,11.07246761,-0.975,0.975,1.09099E-08,6.33031E-07,yes,2,0,0
13204,0.975,SKAP2,mRNA,NW_005054333.1:3478671-3669212,+,-,50,97,6.199672345,-0.957,0.957,0.001025609,0.007942145,yes,2,0,0
2224,0.974,CRYL1,mRNA,NW_005054302.1:3589285-3636847,+,-,153,78,6.851749041,0.974,0.974,3.32492E-06,8.44544E-05,yes,2,0,0
12728,0.974,RRM2B,mRNA,NW_005054353.1:2128532-2143319,-,-,149,101,6.965784285,0.567,0.567,0.069383235,0.173394354,no,2,0,0
12815,0.974,SAG,mRNA,NW_005054609.1:181024-198484,-,-,547,339,8.791162889,0.69,0.69,0.001426722,0.010262839,yes,2,0,0
1885,0.973,CLASP2,mRNA,NW_005054364.1:2213458-2358491,-,-,1212,618,9.837627933,0.973,0.973,2.07974E-10,1.88609E-08,yes,2,0,0
6170,0.973,LOC102036039,mRNA,NW_005054373.1:2162850-2165689,-,-,2861,5616,12.04933807,-0.973,0.973,5.9113E-09,3.67371E-07,yes,2,0,0
10772,0.973,NRK,mRNA,NW_005054314.1:609125-692553,-,-,472,871,9.391243589,-0.881,0.881,0.019070786,0.0694685,no,2,0,0
11816,0.973,PRDM4,mRNA,NW_005054334.1:952063-965745,-,-,19,38,4.832890014,-0.973,0.973,0.000432153,0.00409011,yes,2,0,0
5312,0.972,L2HGDH,mRNA,NW_005054303.1:14950300-14963546,+,-,253,188,7.784634846,0.437,0.437,0.048596322,0.13497386,no,2,0,0
7632,0.972,LOC102045271,mRNA,NW_005054680.1:142489-148434,-,-,259,508,8.583082768,-0.972,0.972,0.005530359,0.028001729,yes,2,0,0
11115,0.971,PATL2,mRNA,NW_005054398.1:2129903-2135145,-,-,35,56,5.50779464,-0.683,0.683,0.057774566,0.152972404,no,2,0,0
13648,0.971,SNX20,mRNA,NW_005054415.1:1283707-1291222,-,-,44,86,6.022367813,-0.963,0.963,0.001653003,0.011505239,yes,2,0,0
1459,0.97,CCDC88A,mRNA,NW_005054341.1:4040615-4108610,+,-,74,144,6.768184325,-0.97,0.97,0.002517984,0.015633371,yes,2,0,0
4874,0.97,IPCEF1,mRNA,NW_005054316.1:8066970-8102420,+,-,31,51,5.357552005,-0.702,0.702,0.025144257,0.084664778,no,2,0,0
11236,0.97,PDK2,mRNA,NW_005054697.1:11391-21581,-,-,5655,3526,12.16443559,0.682,0.682,0.000470453,0.004378591,yes,2,0,0
11324,0.97,PGM1,mRNA,NW_005054345.1:5197277-5208483,+,-,44,87,6.033423002,-0.97,0.97,0.001094448,0.008348493,yes,2,0,0
1521,0.969,CD151,mRNA,NW_005054312.1:8948505-8976495,+,-,645,1263,9.897845456,-0.969,0.969,7.39551E-05,0.001063962,yes,2,0,0
3165,0.969,ENO1,mRNA,NW_005054450.1:829632-838118,-,-,966,1891,10.48028532,-0.969,0.969,0.000615168,0.005349077,yes,2,0,0
6024,0.969,LOC102035003,mRNA,NW_005054334.1:3355966-3378209,-,-,91,179,7.076815597,-0.969,0.969,0.000213925,0.002394046,yes,2,0,0
10245,0.969,MTRF1,mRNA,NW_005054322.1:1287713-1300712,-,-,163,319,7.912889336,-0.969,0.969,7.39247E-06,0.000162488,yes,2,0,0
13487,0.969,SLC9A7,mRNA,NW_005054342.1:4444196-4481080,+,-,355,662,8.990103964,-0.899,0.899,4.13345E-07,1.48404E-05,yes,2,0,0
14380,0.969,THOP1,mRNA,NW_005054491.1:1071182-1079409,-,-,45,88,6.055282436,-0.969,0.969,0.008376723,0.037843624,yes,2,0,0
15616,0.969,WDR7,mRNA,NW_005054590.1:155926-192329,+,-,1623,979,10.34540525,0.729,0.729,8.77731E-06,0.000188197,yes,2,0,0
3126,0.968,ELOVL7,mRNA,NW_005054335.1:1003302-1034392,+,-,177,91,7.06608919,0.968,0.968,0.000395692,0.003829612,yes,2,0,0
6586,0.968,LOC102038614,mRNA,NW_005054303.1:8111438-8165388,+,-,51,101,6.247927513,-0.968,0.968,0.001388402,0.010058985,yes,2,0,0
8426,0.968,LOC115948351,lnc_RNA,NW_005054381.1:3130491-3132749,-,-,78,42,5.906890596,0.89,0.89,4.1702E-05,0.000667395,yes,2,0,0
12191,0.968,RAD54B,mRNA,NW_005054344.1:4615243-4679074,-,-,34,20,4.754887502,0.732,0.732,0.007115576,0.033661513,yes,2,0,0
2287,0.967,CTPS2,mRNA,NW_005054403.1:1674553-1733038,+,-,2701,1382,10.99541385,0.967,0.967,5.20388E-05,0.000804434,yes,2,0,0
8534,0.967,LOC115948482,mRNA,NW_005054414.1:705040-717684,+,-,62,48,5.781359714,0.378,0.378,0.266301358,0.440465756,no,2,0,0
9434,0.967,LPGAT1,mRNA,NW_005054299.1:4302326-4360738,+,-,213,413,8.290018847,-0.954,0.954,0.001663578,0.011571091,yes,2,0,0
14300,0.967,TENT5B,mRNA,NW_005054436.1:377741-378919,+,-,93,58,6.238404739,0.675,0.675,0.017640183,0.065385636,no,2,0,0
15765,0.967,ZBED1,mRNA,NW_005054342.1:2822576-2874524,+,-,61,120,6.499845887,-0.967,0.967,5.80414E-05,0.000877285,yes,2,0,0
9812,0.966,MECR,mRNA,NW_005054428.1:345534-352642,-,-,273,269,8.082149041,0.022,0.022,0.936418988,0.967387583,no,2,0,0
9842,0.966,MEF2D,mRNA,NW_005054546.1:195741-257594,-,-,54,105,6.312882955,-0.966,0.966,0.000145751,0.001780866,yes,2,0,0
12291,0.966,RBM15,mRNA,NW_005054425.1:2074735-2076720,+,-,100,72,6.426264755,0.468,0.468,0.036206707,0.10934354,no,2,0,0
12922,0.966,SDCCAG8,mRNA,NW_005054299.1:14030218-14135033,+,-,24,46,5.129283017,-0.898,0.898,0.001893788,0.012788555,yes,2,0,0
3594,0.965,FERMT1,mRNA,NW_005054341.1:1917201-1935459,+,-,470,918,9.438791853,-0.965,0.965,0.009459995,0.041423005,yes,2,0,0
1844,0.964,CHST3,mRNA,NW_005054515.1:281941-282779,+,-,11,23,4.087462841,-0.964,0.964,0.006152266,0.030242507,yes,2,0,0
4799,0.964,IL6R,mRNA,NW_005054546.1:615471-619346,+,-,168,328,7.95419631,-0.964,0.964,1.63039E-06,4.85667E-05,yes,2,0,0
7919,0.964,LOC115947690,mRNA,NW_005054309.1:3574495-3576487,-,-,434,522,8.900866808,-0.266,0.266,0.362790627,0.541070246,no,2,0,0
12141,0.964,RAB37,mRNA,NW_005054370.1:3100934-3106653,-,-,197,385,8.184875343,-0.964,0.964,5.71883E-05,0.000868681,yes,2,0,0
14142,0.964,TAGAP,mRNA,NW_005054316.1:5919093-5957233,-,-,361,704,9.056637715,-0.964,0.964,0.000223278,0.002471598,yes,2,0,0
1516,0.963,CCT8,mRNA,NW_005054571.1:624006-632889,+,-,122,198,7.321928095,-0.703,0.703,0.033718995,0.103828384,no,2,0,0
1555,0.963,CDAN1,mRNA,NW_005054312.1:96090-125771,+,-,32,62,5.554588852,-0.963,0.963,0.011247998,0.047296929,yes,2,0,0
5706,0.963,LOC102032905,transcript,NW_005054450.1:1682526-1690897,-,-,382,744,9.136991112,-0.963,0.963,0.003181918,0.018515313,yes,2,0,0
3354,0.962,F2RL3,mRNA,NW_005054491.1:61731-64061,-,-,288,560,8.727920455,-0.962,0.962,1.2432E-05,0.000248296,yes,2,0,0
2180,0.961,CREB3L3,mRNA,NW_005054621.1:177764-181624,-,-,18,35,4.727920455,-0.961,0.961,0.00856545,0.038412749,yes,2,0,0
10961,0.961,ORMDL1,mRNA,NW_005054298.1:28885509-28891715,+,-,256,142,7.636624621,0.856,0.856,2.22038E-05,0.000400945,yes,2,0,0
11112,0.961,PASK,mRNA,NW_005054380.1:2406716-2425769,+,-,453,259,8.475733431,0.811,0.811,7.89415E-05,0.001122509,yes,2,0,0
11771,0.961,PPP1R9B,mRNA,NW_005054697.1:6-7086,+,-,106,207,7.290018847,-0.961,0.961,0.00403145,0.022293155,yes,2,0,0
11879,0.961,PROS1,mRNA,NW_005054338.1:919658-941087,-,-,83,163,6.942514505,-0.961,0.961,7.55736E-05,0.001084698,yes,2,0,0
13012,0.961,SEPTIN5,mRNA,NW_005054330.1:3388019-3409634,-,-,372,724,9.098032083,-0.961,0.961,0.002007396,0.013340746,yes,2,0,0
10179,0.96,MSH6,mRNA,NW_005054405.1:2730049-2742723,-,-,49,96,6.17990909,-0.96,0.96,0.00947798,0.041480867,yes,2,0,0
3051,0.959,EHHADH,mRNA,NW_005054380.1:458716-477873,-,-,9,18,3.754887502,-0.959,0.959,0.010918977,0.046160578,yes,1,0,0
3984,0.959,GGT5,mRNA,NW_005054483.1:820409-838017,+,-,375,728,9.107217076,-0.959,0.959,0.004468759,0.023996058,yes,2,0,0
4673,0.959,IAH1,transcript,NW_005054318.1:7025663-7033345,-,-,39,75,5.832890014,-0.959,0.959,0.000249513,0.002710158,yes,2,0,0
5641,0.959,LOC102032451,mRNA,NW_005054377.1:7596-10215,+,-,131,68,6.636624621,0.959,0.959,0.005959959,0.029577536,yes,2,0,0
8753,0.959,LOC115948752,mRNA,NW_005054507.1:277477-281142,+,-,192,372,8.139551352,-0.959,0.959,0.002642076,0.016093003,yes,2,0,0
9130,0.959,LOC115949254,lnc_RNA,NW_005055257.1:2647-7725,-,-,2172,1275,10.75112558,0.769,0.769,0.001051893,0.008094485,yes,2,0,0
1562,0.958,CDC25A,mRNA,NW_005054466.1:1171587-1182104,+,-,54,106,6.321928095,-0.958,0.958,0.000344312,0.003469472,yes,2,0,0
10077,0.958,MPP5,mRNA,NW_005054301.1:15702702-15754644,+,-,167,86,6.982993575,0.958,0.958,0.000494656,0.004544928,yes,2,0,0
160,0.957,ACTR5,mRNA,NW_005054337.1:5891433-5900331,-,-,617,342,8.905387005,0.855,0.855,0.000189545,0.002185126,yes,2,0,0
10104,0.957,MRPL15,mRNA,NW_005054305.1:9886724-9897532,+,-,2311,1191,10.77396337,0.957,0.957,3.74443E-06,9.37486E-05,yes,2,0,0
9546,0.956,LSM8,mRNA,NW_005054324.1:1953939-1958196,+,-,312,395,8.465566405,-0.336,0.336,0.199497782,0.359607088,no,2,0,0
9877,0.956,METTL23,mRNA,NW_005054370.1:1713571-1714886,-,-,439,351,8.625708843,0.324,0.324,0.360839497,0.539766132,no,2,0,0
695,0.955,ARL15,mRNA,NW_005054335.1:3390294-3637740,+,-,299,154,7.82336724,0.955,0.955,0.000495003,0.004544928,yes,2,0,0
9431,0.955,LPCAT1,mRNA,NW_005054311.1:4093439-4146880,-,-,12,19,3.95419631,-0.649,0.649,0.051102634,0.139841203,no,2,0,0
15246,0.955,UBB,mRNA,NW_005054362.1:1637269-1637823,+,-,9803,5131,12.86631302,0.934,0.934,2.5266E-08,1.34492E-06,yes,2,0,0
14429,0.954,TKT,mRNA,NW_005054339.1:3354335-3373240,-,-,213,413,8.290018847,-0.954,0.954,0.001786741,0.01225494,yes,2,0,0
9197,0.953,LOC115949329,lnc_RNA,NW_005055822.1:553-1195,-,-,31,43,5.209453366,-0.483,0.483,0.097560367,0.220456179,no,2,0,0
15369,0.953,URM1,mRNA,NW_005054329.1:5822732-5838006,+,-,3131,1618,11.21340804,0.953,0.953,1.18197E-06,3.69154E-05,yes,2,0,0
3132,0.952,EMB,mRNA,NW_005054335.1:5049035-5066077,+,-,47,92,6.118941073,-0.952,0.952,0.004260402,0.023141129,yes,2,0,0
7143,0.952,LOC102042214,mRNA,NW_005056948.1:1493-2396,+,-,747,386,9.145932146,0.952,0.952,0.00010373,0.001371447,yes,2,0,0
1908,0.951,CLEC19A,mRNA,NW_005054319.1:5129099-5131997,+,-,416,804,9.252665432,-0.951,0.951,0.012027611,0.049583867,yes,2,0,0
10186,0.951,MSN,mRNA,NW_005054456.1:1100558-1119103,-,-,1314,2540,10.91214086,-0.951,0.951,0.001399195,0.010112361,yes,2,0,0
14431,0.951,TLCD2,mRNA,NW_005054387.1:2121111-2124846,-,-,68,131,6.636624621,-0.951,0.951,0.000859802,0.006943637,yes,2,0,0
3163,0.95,ENKD1,mRNA,NW_005054343.1:4219612-4232551,-,-,254,490,8.539158811,-0.95,0.95,3.54427E-05,0.000590374,yes,2,0,0
14192,0.949,TBC1D8B,mRNA,NW_005054314.1:4385881-4410433,+,-,268,139,7.668884984,0.949,0.949,6.9437E-08,3.20799E-06,yes,2,0,0
2417,0.948,CUNH5orf51,mRNA,NW_005054401.1:2747024-2750381,+,-,281,543,8.686500527,-0.948,0.948,0.001685951,0.011694672,yes,2,0,0
15182,0.948,TUBGCP4,mRNA,NW_005054366.1:3817097-3830067,-,-,40,77,5.87036472,-0.948,0.948,0.004531707,0.024238398,yes,2,0,0
5377,0.947,LCP1,mRNA,NW_005054322.1:3439948-3489487,-,-,922,1778,10.39874369,-0.947,0.947,0.007012057,0.033313394,yes,2,0,0
12950,0.947,SEC23A,mRNA,NW_005054301.1:6773170-6798069,+,-,1808,3487,11.37041497,-0.947,0.947,5.74352E-06,0.0001313,yes,2,0,0
4450,0.946,HERPUD1,mRNA,NW_005054343.1:4203764-4209255,-,-,3348,2016,11.38909352,0.732,0.732,0.000559343,0.004992263,yes,2,0,0
13531,0.946,SMARCAL1,mRNA,NW_005054298.1:12846546-12881516,+,-,1806,987,10.44759986,0.871,0.871,5.95538E-08,2.88188E-06,yes,2,0,0
14646,0.946,TMEM97,mRNA,NW_005054368.1:530824-532946,-,-,250,170,7.714245518,0.561,0.561,0.002875129,0.017214219,yes,2,0,0
15205,0.946,TXN2,mRNA,NW_005054334.1:2519874-2526826,-,-,5094,2795,11.94562672,0.866,0.866,3.06793E-06,7.94094E-05,yes,2,0,0
10479,0.944,NDUFAF4,mRNA,NW_005054305.1:12894705-12899321,-,-,108,109,6.761551232,0,0,0.99866678,0.99955962,no,2,0,0
12835,0.944,SAPCD2,mRNA,NW_005054358.1:138566-146499,+,-,12,22,4.087462841,-0.944,0.944,0.006386464,0.031052213,yes,2,0,0
3704,0.943,FNDC3A,mRNA,NW_005054322.1:4392694-4486846,+,-,838,1243,10.02306125,-0.569,0.569,0.008325357,0.037639343,yes,2,0,0
177,0.941,ADAM15,mRNA,NW_005054582.1:119696-126839,+,-,198,380,8.174925683,-0.941,0.941,0.000857776,0.006931845,yes,2,0,0
1621,0.941,CDK5RAP2,mRNA,NW_005054329.1:6287306-6357709,+,-,918,477,9.446049407,0.941,0.941,9.28905E-09,5.5476E-07,yes,2,0,0
8938,0.941,LOC115949007,lnc_RNA,NW_005054674.1:4945-5889,+,-,92,77,6.400879436,0.247,0.247,0.407784104,0.583709361,no,2,0,0
15307,0.941,UCHL3,mRNA,NW_005054327.1:4076176-4118535,-,-,38,20,4.857980995,0.941,0.941,0.001553797,0.010969498,yes,2,0,0
2658,0.94,DHRS3,mRNA,NW_005054446.1:1109188-1138272,+,-,28,54,5.357552005,-0.94,0.94,0.000992633,0.007725877,yes,2,0,0
4438,0.94,HELZ2,mRNA,NW_005054337.1:2177330-2197058,+,-,12064,14332,13.6880317,-0.249,0.249,0.270995293,0.445700614,no,2,0,0
5816,0.94,LOC102033608,mRNA,NW_005054339.1:3001918-3003184,-,-,8,15,3.523561956,-0.94,0.94,0.005619612,0.028266603,yes,1,0,0
9247,0.94,LOC115949383,lnc_RNA,NW_005057292.1:2211-2563,+,-,106,79,6.531381461,0.416,0.416,0.14520911,0.291651077,no,2,0,0
11439,0.94,PIKFYVE,mRNA,NW_005054298.1:22571458-22632352,-,-,4009,2090,11.574357,0.94,0.94,0.000258922,0.00279294,yes,2,0,0
12799,0.94,RYK,mRNA,NW_005054380.1:1610351-1648051,+,-,22,41,4.977279923,-0.94,0.94,0.000746892,0.006262143,yes,2,0,0
1483,0.939,CCND2,mRNA,NW_005054414.1:1394689-1421104,+,-,29,40,5.108524457,-0.477,0.477,0.16419413,0.317082633,no,2,0,0
1785,0.939,CHD9,mRNA,NW_005054415.1:2347171-2425808,+,-,158,303,7.84862294,-0.939,0.939,0.000932176,0.007396387,yes,2,0,0
6326,0.939,LOC102036949,mRNA,NW_005054444.1:1421291-1444598,-,-,62,118,6.491853096,-0.939,0.939,0.003933247,0.021878575,yes,2,0,0
14187,0.939,TBC1D31,mRNA,NW_005054321.1:5037319-5060374,+,-,174,130,7.247927513,0.424,0.424,0.078239923,0.188672715,no,2,0,0
14680,0.939,TNFAIP8L1,mRNA,NW_005054549.1:120164-125553,+,-,1142,1004,10.06743436,0.186,0.186,0.313626454,0.493016091,no,2,0,0
15629,0.939,WDR91,mRNA,NW_005054331.1:6400749-6417349,+,-,124,238,7.499845887,-0.939,0.939,0.002323584,0.01480106,yes,2,0,0
2454,0.938,CXCR4,mRNA,NW_005054298.1:4687327-4690683,+,-,373,462,8.705632387,-0.31,0.31,0.350707918,0.529531432,no,2,0,0
15418,0.938,USP53,mRNA,NW_005054435.1:191497-213408,+,-,31,20,4.672425342,0.649,0.649,0.058501744,0.1542429,no,2,0,0
5179,0.937,KIF13A,mRNA,NW_005054325.1:4645736-4749570,+,-,30,46,5.247927513,-0.605,0.605,0.030085242,0.095626782,no,2,0,0
15684,0.937,WWOX,mRNA,NW_005054343.1:4547734-5023206,+,-,224,117,7.413627929,0.937,0.937,0.000324077,0.003298147,yes,2,0,0
1650,0.936,CEL,mRNA,NW_005054329.1:3847048-3851070,-,-,639,1222,9.86186234,-0.936,0.936,0.005247547,0.026869811,yes,2,0,0
9931,0.936,MGST1,mRNA,NW_005054384.1:1925340-1929054,+,-,2105,2318,11.11080953,-0.139,0.139,0.557695036,0.713092462,no,2,0,0
7253,0.935,LOC102043013,mRNA,NW_005054329.1:5105910-5111961,-,-,707,926,9.673309076,-0.388,0.388,0.207809431,0.370444214,no,2,0,0
7401,0.935,LOC102043988,mRNA,NW_005054518.1:940477-954227,-,-,63,121,6.523561956,-0.935,0.935,0.002452026,0.01534773,yes,2,0,0
3930,0.934,GCNT1,mRNA,NW_005054323.1:3124745-3127626,-,-,43,49,5.523561956,-0.201,0.201,0.407759136,0.583709361,no,2,0,0
6784,0.934,LOC102039850,mRNA,NW_005054298.1:22769092-22783768,+,-,37,72,5.768184325,-0.934,0.934,0.004178428,0.022827532,yes,2,0,0
3183,0.933,ENTPD6,mRNA,NW_005054341.1:5807323-5820316,+,-,22,30,4.700439718,-0.487,0.487,0.080820736,0.192920309,no,2,0,0
4994,0.933,JMJD6,mRNA,NW_005054370.1:1714733-1730267,+,-,4740,2482,11.8181827,0.933,0.933,0.002878988,0.017214219,yes,2,0,0
5316,0.933,L3MBTL3,mRNA,NW_005054306.1:12355296-12430161,+,-,61,110,6.417852515,-0.846,0.846,0.012306101,0.050541292,no,2,0,0
13403,0.933,SLC39A6,mRNA,NW_005054311.1:6772659-6791473,-,-,480,252,8.515699838,0.933,0.933,2.46332E-07,9.36597E-06,yes,2,0,0
14011,0.933,SUGT1,mRNA,NW_005054322.1:1145587-1171389,-,-,1277,669,9.926295995,0.933,0.933,1.30732E-06,4.02343E-05,yes,2,0,0
151,0.932,ACTG1,mRNA,NW_005054646.1:311562-319714,+,-,30871,16178,14.52187644,0.932,0.932,8.81261E-11,8.84367E-09,yes,2,0,0
2373,0.932,CUNH1orf189,mRNA,NW_005054546.1:564361-565236,-,-,1233,1075,10.17242751,0.198,0.198,0.536839446,0.696168344,no,2,0,0
14652,0.932,TMLHE,mRNA,NW_005054504.1:423947-434207,+,-,1537,1322,10.4812949,0.217,0.217,0.506475497,0.669702939,no,2,0,0
15410,0.932,USP44,mRNA,NW_005054331.1:4068731-4087599,-,-,58,111,6.400879436,-0.932,0.932,0.001824732,0.012438859,yes,2,0,0
5558,0.931,LOC102031840,mRNA,NW_005054365.1:3709754-3726881,+,-,243,463,8.463524373,-0.931,0.931,0.0016653,0.011571091,yes,2,0,0
1529,0.93,CD2AP,mRNA,NW_005054306.1:2069235-2125846,-,-,80,153,6.864186145,-0.93,0.93,0.003762296,0.021132254,yes,2,0,0
7559,0.93,LOC102044903,mRNA,NW_005054343.1:3632948-3655879,-,-,127,241,7.523561956,-0.93,0.93,2.25423E-05,0.000405266,yes,2,0,0
10830,0.93,NUBP2,mRNA,NW_005054383.1:1550342-1552984,+,-,1031,1966,10.54930337,-0.93,0.93,1.03447E-09,7.86649E-08,yes,2,0,0
5348,0.929,LAPTM5,mRNA,NW_005054428.1:942446-969211,-,-,902,1718,10.3553511,-0.929,0.929,0.003724074,0.020991636,yes,2,0,0
9869,0.929,METRNL,mRNA,NW_005054370.1:196085-218852,-,-,71,118,6.562242424,-0.743,0.743,0.008260462,0.037470485,yes,2,0,0
13396,0.929,SLC38A9,mRNA,NW_005054335.1:2904261-2948750,+,-,31,16,4.554588852,0.929,0.929,0.007946813,0.036439263,yes,2,0,0
1301,0.928,CAPN10,mRNA,NW_005054309.1:3373003-3385621,-,-,220,164,7.584962501,0.424,0.424,0.036947891,0.110881459,no,2,0,0
3074,0.928,EIF3F,mRNA,NW_005054300.1:12133041-12137750,+,-,4647,2616,11.82634986,0.829,0.829,2.68768E-06,7.15331E-05,yes,2,0,0
3608,0.928,FGD4,mRNA,NW_005054326.1:6434696-6501793,+,-,18,34,4.700439718,-0.928,0.928,0.009499852,0.041552945,yes,2,0,0
964,0.927,BAG1,mRNA,NW_005054311.1:3891461-3904656,-,-,140,74,6.741466986,0.927,0.927,1.17337E-06,3.67407E-05,yes,2,0,0
5520,0.927,LOC102031587,mRNA,NW_005055050.1:14404-16729,+,-,46,88,6.06608919,-0.927,0.927,0.001284851,0.009493318,yes,2,0,0
3394,0.926,FAM126A,mRNA,NW_005054333.1:5167400-5191017,+,-,2941,1548,11.13217838,0.926,0.926,0.00089836,0.007169894,yes,2,0,0
9190,0.926,LOC115949322,lnc_RNA,NW_005055798.1:488-6183,-,-,26,14,4.321928095,0.926,0.926,0.011797454,0.048895135,yes,2,0,0
11416,0.926,PIGT,mRNA,NW_005054337.1:4397908-4405257,+,-,5384,3605,12.13394491,0.579,0.579,0.001863818,0.012655973,yes,2,0,0
1479,0.925,CCNB2,mRNA,NW_005054313.1:7207473-7211308,+,-,671,523,9.221587121,0.359,0.359,0.118793794,0.253202024,no,2,0,0
2468,0.925,CYTH4,mRNA,NW_005054334.1:2843595-2862055,+,-,320,607,8.856425529,-0.925,0.925,0.001335845,0.009781552,yes,2,0,0
8931,0.924,LOC115948997,lnc_RNA,NW_005054666.1:238008-240381,+,-,861,454,9.360847084,0.924,0.924,0.0029047,0.017347433,yes,2,0,0
9014,0.924,LOC115949119,mRNA,NW_005054778.1:14181-26194,-,-,48,53,5.658211483,-0.147,0.147,0.685346596,0.807668332,no,2,0,0
10519,0.924,NEIL3,mRNA,NW_005054297.1:21390435-21417048,-,-,16,8,3.584962501,0.924,0.924,0.009543337,0.041698459,yes,1,0,0
7136,0.923,LOC102042160,mRNA,NW_005054545.1:158445-169530,+,-,590,1119,9.738936682,-0.923,0.923,1.56612E-05,0.000299127,yes,2,0,0
10686,0.923,NOP14,mRNA,NW_005054372.1:1078781-1103386,-,-,1147,649,9.810571635,0.823,0.823,6.57242E-05,0.000964822,yes,2,0,0
12084,0.922,PYCR1,mRNA,NW_005054578.1:235832-240709,+,-,52,51,5.686500527,0.029,0.029,0.891512756,0.940298997,no,2,0,0
