Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mICRA,avg mUCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
1445,45,CCDC65,mRNA,NW_005054605.1:217003-224336,+,-,2,1,0.584962501,0.453,0.453,0.666568815,1,no,0,0,0
7563,0,LOC102044918,lnc_RNA,NW_005054400.1:707721-729713,+,-,0,0,-3.321928095,0,0,0.879489364,1,no,0,0,0
9426,53,LPAR1,mRNA,NW_005054385.1:1192593-1260689,+,-,2,1,0.584962501,0.534,0.534,0.735402284,1,no,0,0,0
439,95,AMZ1,mRNA,NW_005054319.1:1348064-1356393,-,-,7,4,2.459431619,0.951,0.951,0.269799986,1,no,0,0,0
11046,-27,PACSIN1,mRNA,NW_005054512.1:395918-400744,-,-,2,2,1,-0.266,0.266,0.778245567,1,no,0,0,0
10765,0,NRG2,mRNA,NW_005054386.1:359365-416736,+,-,1,0,-1,1.81,1.81,0.693722673,1,no,0,1,0
15556,-151,VXN,mRNA,NW_005054346.1:2760296-2777623,-,-,1,3,1,-1.507,1.507,0.09757142,1,no,0,1,0
887,0,ATP6V1C2,mRNA,NW_005054318.1:6210847-6229772,-,-,2,0,0,2.217,2.217,0.106040011,1,no,0,1,0
3542,0,FBXO15,mRNA,NW_005054311.1:10311618-10337901,+,-,0,0,-3.321928095,0,0,0.955013158,1,no,0,0,0
8321,0,LOC115948209,mRNA,NW_005054360.1:1149221-1167409,-,-,0,0,-3.321928095,0,0,0.934406992,1,no,0,0,0
14092,0,SYT16,mRNA,NW_005054303.1:10635638-10735890,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
4888,0,IQCG,mRNA,NW_005054309.1:2630109-2652520,-,-,1,1,0,0.028,0.028,0.981903011,1,no,0,0,0
10669,36,NOC4L,mRNA,NW_005054330.1:1337337-1346883,+,-,41,33,5.209453366,0.362,0.362,0.398788535,1,no,2,0,0
228,0,ADGRB2,mRNA,NW_005054478.1:1240608-1272033,-,-,0,0,-3.321928095,0,0,0.73550614,1,no,0,0,0
7917,0,LOC115947688,lnc_RNA,NW_005054309.1:7405664-7412102,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
8715,-2,LOC115948703,snoRNA,NW_005054479.1:624724-624865,-,-,0,1,-1,-2.306,2.306,0.489605937,1,no,0,1,0
10544,0,NETO2,mRNA,NW_005054408.1:2442556-2471584,-,-,0,0,-3.321928095,0,0,0.879487969,1,no,0,0,0
13318,0,SLC26A1,mRNA,NW_005054355.1:4773553-4777567,-,-,0,0,-3.321928095,0,0,0.879487969,1,no,0,0,0
4029,122,GLDC,mRNA,NW_005054390.1:1040080-1068947,-,-,46,20,5.044394119,1.222,1.222,0.075750845,1,no,2,1,0
5552,0,LOC102031799,pseudogene,NW_005054437.1:483447-484793,+,-,0,0,-3.321928095,0,0,0.929502362,1,no,0,0,0
14099,94,SYT9,mRNA,NW_005054487.1:268140-319693,-,-,3,2,1.321928095,0.935,0.935,0.202074446,1,no,0,0,0
1951,-2,CLVS2,mRNA,NW_005054306.1:9168436-9224870,+,-,0,2,0,-2.044,2.044,0.119263842,1,no,0,1,0
5991,-1,LOC102034771,mRNA,NW_005054300.1:9194841-9205204,-,-,0,1,-1,-1.411,1.411,0.48397056,1,no,0,1,0
9563,0,LURAP1L,mRNA,NW_005054323.1:6650357-6672821,-,-,1,0,-1,1.907,1.907,0.281357655,1,no,0,1,0
653,0,ARHGAP44,mRNA,NW_005054457.1:1089223-1096084,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
1224,230,CA9,mRNA,NW_005054480.1:1191228-1206631,+,-,30,6,4.169925001,2.298,2.298,0.02247948,1,no,1,1,0
14657,0,TMPRSS13,mRNA,NW_005054447.1:613988-620050,+,-,1,0,-1,1.216,1.216,0.681039912,1,no,0,1,0
4045,0,GLP2R,mRNA,NW_005054614.1:190621-211776,-,-,0,0,-3.321928095,0,0,0.859882257,1,no,0,0,0
14253,-135,TCTEX1D1,mRNA,NW_005054555.1:383433-385089,+,-,1,3,1,-1.348,1.348,0.160229429,1,no,0,1,0
4196,0,GPR27,mRNA,NW_005054317.1:1245129-1248495,-,-,0,0,-3.321928095,0,0,0.624075056,1,no,0,0,0
5788,0,LOC102033442,mRNA,NW_005054347.1:4241448-4247653,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
4678,0,IBSP,mRNA,NW_005054304.1:620430-625277,+,-,0,0,-3.321928095,0,0,0.927500309,1,no,0,0,0
5700,-81,LOC102032863,mRNA,NW_005054297.1:16448882-16452347,-,-,1,2,0.584962501,-0.808,0.808,0.521417122,1,no,0,0,0
2303,0,CTXN1,mRNA,NW_005054621.1:59268-64601,+,-,1,1,0,0.213,0.213,0.886172345,1,no,0,0,0
2751,199,DNAH10,mRNA,NW_005054362.1:2093604-2141645,-,-,2,1,0.584962501,1.985,1.985,0.08126029,1,no,0,1,0
7259,0,LOC102043042,mRNA,NW_005054603.1:157137-178399,-,-,0,1,-1,-0.314,0.314,0.887828733,1,no,0,0,0
3988,-4,GHR,mRNA,NW_005054335.1:6148089-6295715,-,-,12,12,3.584962501,-0.04,0.04,0.956807328,1,no,2,0,0
10273,0,MXRA5,mRNA,NW_005054315.1:1047207-1064904,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
12668,0,RPP25,mRNA,NW_005054313.1:10083194-10084718,+,-,1,0,-1,1.133,1.133,0.702864218,1,no,0,1,0
13715,18,SPAG6,mRNA,NW_005054307.1:12219894-12256754,+,-,3,3,1.584962501,0.175,0.175,0.861558542,1,no,0,0,0
8150,-2,LOC115947980,lnc_RNA,NW_005054336.1:1300535-1329810,+,-,0,1,-1,-2.285,2.285,0.245432063,1,no,0,1,0
7096,0,LOC102041870,mRNA,NW_005054448.1:250417-267213,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
7183,0,LOC102042542,mRNA,NW_005057001.1:6-2784,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
8489,0,LOC115948423,lnc_RNA,NW_005054395.1:2645061-2647631,+,-,0,0,-3.321928095,0,0,0.934406992,1,no,0,0,0
9851,0,MEIOC,mRNA,NW_005054518.1:304240-321631,+,-,0,0,-3.321928095,0,0,0.875722609,1,no,0,0,0
10356,-1,MYT1L,mRNA,NW_005054406.1:1557577-1868024,+,-,0,1,-1,-1.047,1.047,0.793932528,1,no,0,1,0
11632,0,POF1B,mRNA,NW_005054349.1:4082616-4099252,+,-,0,0,-3.321928095,0,0,0.934406992,1,no,0,0,0
11067,0,PALMD,mRNA,NW_005054336.1:4948336-4992043,+,-,0,0,-3.321928095,0,0,0.899530046,1,no,0,0,0
1768,69,CHAD,mRNA,NW_005054370.1:3194689-3202833,-,-,2,1,0.584962501,0.693,0.693,0.568843652,1,no,0,0,0
4775,0,IL17REL,mRNA,NW_005054324.1:6193172-6237890,+,-,0,0,-3.321928095,0,0,0.607854261,1,no,0,0,0
11989,0,PTCHD1,mRNA,NW_005054375.1:1323884-1350977,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
14947,0,TRNAH-GUG,tRNA,NW_005054320.1:1621818-1621889,+,-,0,0,-3.321928095,0,0,0.968011699,1,no,0,0,0
694,0,ARL14EPL,mRNA,NW_005054620.1:192636-201277,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
3102,0,ELAVL2,mRNA,NW_005054385.1:564825-617833,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
7195,0,LOC102042651,mRNA,NW_005054457.1:1041750-1047693,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
10934,0,OLFML3,mRNA,NW_005054472.1:750760-752680,+,-,0,0,-3.321928095,0,0,0.824365378,1,no,0,0,0
7217,-1,LOC102042769,mRNA,NW_005055184.1:7923-11404,+,-,0,2,0,-1.49,1.49,0.220909041,1,no,0,1,0
4250,0,GRIA3,mRNA,NW_005054314.1:1719855-2068331,+,-,0,0,-3.321928095,0,0,0.890304504,1,no,0,0,0
6097,0,LOC102035547,mRNA,NW_005054672.1:6968-10471,-,-,1,1,0,-0.042,0.042,0.987055723,1,no,0,0,0
196,0,ADAMTS5,mRNA,NW_005054634.1:300691-336338,+,-,0,0,-3.321928095,0,0,0.636696108,1,no,0,0,0
14506,-1,TMEM130,mRNA,NW_005054319.1:3704565-3712360,+,-,0,1,-1,-0.67,0.67,0.78378686,1,no,0,0,0
15306,0,UCHL1,mRNA,NW_005054297.1:10177322-10181475,+,-,1,1,0,-0.173,0.173,0.925234293,1,no,0,0,0
14613,0,TMEM45A,mRNA,NW_005054391.1:342748-366216,+,-,1,0,-1,1.773,1.773,0.699645289,1,no,0,1,0
7223,-52,LOC102042824,mRNA,NW_005054531.1:219998-292715,-,-,3,4,1.807354922,-0.516,0.516,0.520097325,1,no,0,0,0
2818,1,DOCK3,mRNA,NW_005054339.1:777889-943664,-,-,1,1,0,1.03,1.03,0.431971015,1,no,0,1,0
6760,0,LOC102039735,mRNA,NW_005054665.1:10584-14539,+,-,0,0,-3.321928095,0,0,0.931412397,1,no,0,0,0
1698,58,CEP55,mRNA,NW_005054300.1:8076310-8089292,+,-,2,2,1,0.583,0.583,0.439877834,1,no,0,0,0
5813,-114,LOC102033569,mRNA,NW_005054520.1:379737-380835,-,-,1,2,0.584962501,-1.136,1.136,0.440337259,1,no,0,1,0
452,0,ANGPT2,mRNA,NW_005054413.1:176398-217940,+,-,0,0,-3.321928095,0,0,0.672100177,1,no,0,0,0
6426,0,LOC102037654,pseudogene,NW_005054313.1:1630591-1672539,+,-,1,1,0,-0.294,0.294,0.939683355,1,no,0,0,0
190,0,ADAMTS17,mRNA,NW_005054366.1:620534-774101,-,-,1,1,0,-0.287,0.287,0.816482062,1,no,0,0,0
3579,1,FCN2,mRNA,NW_005054358.1:35597-45073,+,-,1,1,0,0.622,0.622,0.805065778,1,no,0,0,0
13871,0,ST18,mRNA,NW_005054305.1:9103947-9204429,-,-,0,0,-3.321928095,0,0,0.740598197,1,no,0,0,0
5746,89,LOC102033141,mRNA,NW_005054762.1:29466-32454,+,-,15,8,3.523561956,0.889,0.889,0.299584257,1,no,1,0,0
3494,-1,FANCF,mRNA,NW_005054442.1:1426074-1427471,-,-,1,1,0,-0.784,0.784,0.550104298,1,no,0,0,0
9046,0,LOC115949161,mRNA,NW_005054856.1:25987-34250,+,-,0,0,-3.321928095,0,0,0.938513877,1,no,0,0,0
11442,-226,PIMREG,mRNA,NW_005054368.1:39732-48357,+,-,1,2,0.584962501,-2.258,2.258,0.061652693,1,no,0,1,0
7850,-1,LOC106632197,mRNA,NW_005059641.1:9-1505,-,-,0,1,-1,-1.147,1.147,0.550450859,1,no,0,1,0
2994,0,EDIL3,mRNA,NW_005054431.1:234833-476324,+,-,1,0,-1,2.073,2.073,0.652091444,1,no,0,1,0
4043,-174,GLOD5,mRNA,NW_005054504.1:106632-107384,+,-,1,3,1,-1.735,1.735,0.109291533,1,no,0,1,0
8603,-80,LOC115948562,lnc_RNA,NW_005054430.1:1611604-1623087,-,-,2,3,1.321928095,-0.802,0.802,0.363824381,1,no,0,0,0
12486,0,RIMS3,mRNA,NW_005054478.1:1119608-1125284,-,-,1,0,-1,2.073,2.073,0.652091444,1,no,0,1,0
10412,0,NBEA,mRNA,NW_005054412.1:435861-808879,-,-,1,1,0,-0.168,0.168,0.915408466,1,no,0,0,0
2279,-2,CTNNAL1,mRNA,NW_005054311.1:6725829-6768960,+,-,0,1,-1,-1.694,1.694,0.403549768,1,no,0,1,0
5718,49,LOC102032962,mRNA,NW_005054416.1:1292130-1294716,+,-,2,1,0.584962501,0.492,0.492,0.713758405,1,no,0,0,0
1092,-82,BMPR1A,mRNA,NW_005054300.1:18676200-18724274,-,-,3,5,2,-0.815,0.815,0.282578407,1,no,0,0,0
15653,0,WNT10A,mRNA,NW_005054298.1:13938620-13952415,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
5112,-2,KCTD4,mRNA,NW_005054322.1:3083201-3084683,-,-,0,1,-1,-1.714,1.714,0.512922731,1,no,0,1,0
8362,0,LOC115948269,snoRNA,NW_005054368.1:2808065-2808278,+,-,1,0,-1,1.358,1.358,0.328218557,1,no,0,1,0
231,0,ADGRD2,mRNA,NW_005054329.1:977426-999140,-,-,1,0,-1,1.086,1.086,0.81320594,1,no,0,1,0
574,68,APCDD1,mRNA,NW_005054350.1:4833023-4851047,+,-,2,2,1,0.683,0.683,0.560048932,1,no,0,0,0
8748,0,LOC115948747,mRNA,NW_005054504.1:444150-449294,-,-,1,0,-1,1.098,1.098,0.378410172,1,no,0,1,0
9462,102,LRP2,mRNA,NW_005054298.1:17564265-17675285,-,-,4,2,1.584962501,1.018,1.018,0.341733799,1,no,0,1,0
13335,0,SLC2A10,mRNA,NW_005054337.1:3752197-3757329,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
237,-2,ADGRL3,mRNA,NW_005054304.1:5553030-6035213,+,-,0,1,-1,-1.804,1.804,0.483578257,1,no,0,1,0
7753,0,LOC106631964,mRNA,NW_005054441.1:954937-957491,-,-,1,1,0,0.212,0.212,0.866303112,1,no,0,0,0
493,0,ANKRD33B,mRNA,NW_005054340.1:219289-261814,+,-,0,0,-3.321928095,0,0,0.800297571,1,no,0,0,0
12469,-2,RHOV,mRNA,NW_005054312.1:1815038-1819919,+,-,0,2,0,-1.627,1.627,0.227685235,1,no,0,1,0
4463,-2,HFM1,mRNA,NW_005054336.1:2552928-2600507,-,-,0,1,-1,-2.235,2.235,0.614821939,1,no,0,1,0
9285,0,LOC115949421,mRNA,NW_005059446.1:833-1551,-,-,1,1,0,-0.379,0.379,0.773347794,1,no,0,0,0
12371,0,REN,mRNA,NW_005054681.1:177010-183090,+,-,0,0,-3.321928095,0,0,0.927500309,1,no,0,0,0
12427,0,RGS16,mRNA,NW_005054696.1:181677-187311,+,-,0,0,-3.321928095,0,0,0.927500309,1,no,0,0,0
14593,-133,TMEM266,mRNA,NW_005054313.1:9053942-9109733,+,-,1,2,0.584962501,-1.334,1.334,0.385792702,1,no,0,1,0
4006,0,GJA1,mRNA,NW_005054306.1:8554780-8564170,+,-,0,0,-3.321928095,0,0,0.711125884,1,no,0,0,0
7157,-68,LOC102042330,mRNA,NW_005054659.1:188506-211810,-,-,2,3,1.321928095,-0.683,0.683,0.52101879,1,no,0,0,0
10191,35,MSS51,mRNA,NW_005054383.1:1726170-1728952,+,-,12,9,3.392317423,0.353,0.353,0.618782022,1,no,1,0,0
1899,0,CLDN16,mRNA,NW_005054309.1:1308091-1315582,-,-,0,0,-3.321928095,0,0,0.934406992,1,no,0,0,0
7481,0,LOC102044453,pseudogene,NW_005054320.1:975420-1003963,+,-,0,0,-3.321928095,0,0,0.934407951,1,no,0,0,0
13490,0,SLC9B2,mRNA,NW_005054304.1:15400517-15418157,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
7818,0,LOC106632131,mRNA,NW_005054961.1:22027-24233,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
4853,97,INSRR,mRNA,NW_005054582.1:62946-73717,+,-,2,1,0.584962501,0.97,0.97,0.328699842,1,no,0,0,0
14911,0,TRNAD-GUC-2,tRNA,NW_005054320.1:1621608-1621679,+,-,0,0,-3.321928095,0,0,0.892630592,1,no,0,0,0
15485,0,VIT,mRNA,NW_005054299.1:17121343-17175186,+,-,1,0,-1,0.814,0.814,0.673662694,1,no,0,0,0
5070,0,KCNJ3,mRNA,NW_005054585.1:8762-39603,-,-,0,0,-3.321928095,0,0,0.927499457,1,no,0,0,0
9843,0,MEGF10,mRNA,NW_005054670.1:13685-80682,-,-,0,0,-3.321928095,0,0,0.897450572,1,no,0,0,0
11423,0,PIH1D3,mRNA,NW_005054314.1:8301608-8311164,-,-,1,0,-1,1.089,1.089,0.76811674,1,no,0,1,0
11832,16,PRICKLE1,mRNA,NW_005054310.1:11576988-11586418,+,-,2,2,1,0.164,0.164,0.900493404,1,no,0,0,0
13789,-1,SPSB4,mRNA,NW_005054496.1:1117565-1193902,+,-,0,1,-1,-1.334,1.334,0.548024759,1,no,0,1,0
2524,-64,DCHS1,mRNA,NW_005054720.1:50437-90480,+,-,1,2,0.584962501,-0.638,0.638,0.534654579,1,no,0,0,0
8923,0,LOC115948988,lnc_RNA,NW_005054662.1:4834-6172,+,-,0,0,-3.321928095,0,0,0.690350982,1,no,0,0,0
3369,0,FABP7,mRNA,NW_005054306.1:9090410-9093157,+,-,0,0,-3.321928095,0,0,0.874167327,1,no,0,0,0
9811,0,MECOM,mRNA,NW_005054309.1:8405025-8585345,+,-,0,0,-3.321928095,0,0,0.973431378,1,no,0,0,0
3196,-2,EPB41L3,mRNA,NW_005054443.1:295403-389946,-,-,0,1,-1,-1.647,1.647,0.644860339,1,no,0,1,0
13892,-117,ST8SIA5,mRNA,NW_005054365.1:2196633-2238538,-,-,1,3,1,-1.169,1.169,0.286167019,1,no,0,1,0
11696,-2,POU3F2,mRNA,NW_005054305.1:13836367-13838544,+,-,0,1,-1,-1.834,1.834,0.495346524,1,no,0,1,0
15478,87,VIL1,mRNA,NW_005054298.1:13747905-13753483,+,-,6,3,2.169925001,0.871,0.871,0.218734196,1,no,0,0,0
6821,-25,LOC102040062,mRNA,NW_005054489.1:607042-638761,-,-,3,3,1.584962501,-0.254,0.254,0.828431291,1,no,0,0,0
14544,72,TMEM182,mRNA,NW_005054315.1:7068375-7100110,-,-,5,3,2,0.72,0.72,0.417902444,1,no,0,0,0
1291,0,CAMKV,mRNA,NW_005054339.1:511923-516570,-,-,0,0,-3.321928095,0,0,0.83223132,1,no,0,0,0
6535,0,LOC102038356,mRNA,NW_005054483.1:458258-466676,+,-,0,0,-3.321928095,0,0,0.962000389,1,no,0,0,0
8775,-38,LOC115948778,snoRNA,NW_005054515.1:726055-726118,-,-,2,2,1,-0.384,0.384,0.73172428,1,no,0,0,0
8939,0,LOC115949009,pseudogene,NW_005054678.1:85432-93879,-,-,0,0,-3.321928095,0,0,0.784128393,1,no,0,0,0
9047,0,LOC115949162,mRNA,NW_005054856.1:34808-48117,+,-,0,0,-3.321928095,0,0,0.743877665,1,no,0,0,0
12005,0,PTGS2,mRNA,NW_005054357.1:4588630-4594071,-,-,1,1,0,-0.334,0.334,0.741106849,1,no,0,0,0
1313,0,CAPRIN2,mRNA,NW_005054326.1:5889281-5920867,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
4569,-2,HOXB9,mRNA,NW_005054664.1:232928-258397,-,-,0,1,-1,-1.633,1.633,0.547963967,1,no,0,1,0
9203,0,LOC115949337,mRNA,NW_005055992.1:565-4679,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
14085,0,SYT1,mRNA,NW_005054310.1:1930748-2186064,-,-,0,0,-3.321928095,0,0,0.934406992,1,no,0,0,0
1161,0,BTBD17,mRNA,NW_005054646.1:247621-253336,-,-,0,0,-3.321928095,0,0,0.845420224,1,no,0,0,0
4531,0,HMX2,mRNA,NW_005054369.1:814700-816523,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
5094,0,KCNS1,mRNA,NW_005054337.1:4277717-4291210,-,-,0,0,-3.321928095,0,0,0.874004626,1,no,0,0,0
7798,-115,LOC106632091,mRNA,NW_005054717.1:13429-21546,+,-,2,5,1.807354922,-1.149,1.149,0.229271902,1,no,0,1,0
8306,-1,LOC115948189,snoRNA,NW_005054357.1:3424606-3424690,+,-,0,1,-1,-1.242,1.242,0.679632157,1,no,0,1,0
8350,0,LOC115948248,lnc_RNA,NW_005054366.1:3439236-3440462,-,-,1,1,0,0.474,0.474,0.726325628,1,no,0,0,0
10623,0,NKAIN4,mRNA,NW_005054337.1:999030-1032975,-,-,1,1,0,-0.037,0.037,0.977417947,1,no,0,0,0
14015,0,SULT4A1,mRNA,NW_005054426.1:1609007-1660939,+,-,0,0,-3.321928095,0,0,0.927500309,1,no,0,0,0
14304,0,TERB1,mRNA,NW_005054445.1:1462192-1480355,-,-,0,0,-3.321928095,0,0,0.871813273,1,no,0,0,0
2181,0,CREB5,mRNA,NW_005054333.1:2539323-2795514,-,-,1,0,-1,1.817,1.817,0.165401979,1,no,0,1,0
7287,-40,LOC102043193,lnc_RNA,NW_005054412.1:2441496-2474297,+,-,4,5,2.169925001,-0.397,0.397,0.587082095,1,no,0,0,0
14288,-23,TEKT3,mRNA,NW_005054457.1:1172946-1179521,+,-,2,2,1,-0.23,0.23,0.820979039,1,no,0,0,0
1250,-7,CACNB4,mRNA,NW_005054585.1:384538-402114,+,-,13,14,3.754887502,-0.067,0.067,0.916399372,1,no,2,0,0
5774,0,LOC102033365,mRNA,NW_005054300.1:9649716-9654377,+,-,0,0,-3.321928095,0,0,0.968334771,1,no,0,0,0
9623,0,MAK,mRNA,NW_005054376.1:3062781-3086754,-,-,0,0,-3.321928095,0,0,0.916431037,1,no,0,0,0
108,0,ACE,mRNA,NW_005054584.1:387478-404462,-,-,0,0,-3.321928095,0,0,0.990068518,1,no,0,0,0
3214,25,EPHB2,mRNA,NW_005054473.1:711431-801188,-,-,4,3,1.807354922,0.253,0.253,0.751580944,1,no,0,0,0
5195,0,KIF25,mRNA,NW_005054299.1:21905055-21939289,+,-,0,0,-3.321928095,0,0,0.810784503,1,no,0,0,0
6473,-28,LOC102037953,mRNA,NW_005054390.1:691808-699838,+,-,2,2,1,-0.283,0.283,0.775354262,1,no,0,0,0
3024,-1,EFEMP1,mRNA,NW_005054341.1:3907059-3952031,+,-,0,1,-1,-1.274,1.274,0.572891843,1,no,0,1,0
8229,0,LOC115948085,snoRNA,NW_005054346.1:2606437-2606515,+,-,1,1,0,-0.471,0.471,0.839445268,1,no,0,0,0
2950,0,DYSF,mRNA,NW_005054693.1:113773-195658,-,-,1,0,-1,0.683,0.683,0.752202732,1,no,0,0,0
7469,0,LOC102044388,mRNA,NW_005054314.1:7781655-7782593,+,-,0,0,-3.321928095,0,0,0.804491,1,no,0,0,0
10722,0,NPPA,mRNA,NW_005054446.1:1402435-1405271,+,-,1,0,-1,2.026,2.026,0.659540122,1,no,0,1,0
7017,0,LOC102041236,mRNA,NW_005054408.1:2266699-2269884,+,-,0,1,-1,-0.125,0.125,0.955079298,1,no,0,0,0
4606,200,HS6ST3,mRNA,NW_005054363.1:1212098-1485615,+,-,3,1,1,2.004,2.004,0.128132071,1,no,0,1,0
10940,0,ONECUT1,mRNA,NW_005054313.1:5347961-5363811,-,-,0,0,-3.321928095,0,0,0.599977365,1,no,0,0,0
13027,120,SERPINB5,mRNA,NW_005054397.1:1374102-1388925,+,-,2,1,0.584962501,1.197,1.197,0.474128441,1,no,0,1,0
5489,-37,LNP1,mRNA,NW_005054391.1:319145-327984,+,-,3,4,1.807354922,-0.372,0.372,0.629945834,1,no,0,0,0
8277,0,LOC115948153,lnc_RNA,NW_005054353.1:4773357-4776265,+,-,1,1,0,0.144,0.144,0.922281931,1,no,0,0,0
11223,-2,PDGFRB,mRNA,NW_005054308.1:5910969-5943305,-,-,0,1,-1,-1.876,1.876,0.226178681,1,no,0,1,0
3873,-220,GALNT9,mRNA,NW_005054330.1:1452484-1563048,-,-,1,5,1.584962501,-2.197,2.197,0.026821785,1,no,0,1,0
8495,-129,LOC115948430,lnc_RNA,NW_005054398.1:2594997-2596983,+,-,1,2,0.584962501,-1.287,1.287,0.181837671,1,no,0,1,0
12591,-1,ROBO3,mRNA,NW_005054541.1:363691-376826,-,-,1,1,0,-0.683,0.683,0.664731705,1,no,0,0,0
8963,47,LOC115949040,lnc_RNA,NW_005054714.1:146272-146922,-,-,85,61,6.189824559,0.466,0.466,0.361085405,1,no,2,0,0
198,-100,ADAMTS7,mRNA,NW_005054366.1:3185392-3213926,+,-,1,2,0.584962501,-1.001,1.001,0.459832122,1,no,0,1,0
3259,-75,ERMN,mRNA,NW_005054523.1:465866-468773,-,-,7,12,3.247927513,-0.754,0.754,0.273362664,1,no,1,0,0
2338,-219,CUNH12orf57,mRNA,NW_005054320.1:8204705-8206761,+,-,1,4,1.321928095,-2.193,2.193,0.044553644,1,no,0,1,0
2930,0,DUSP8,mRNA,NW_005054312.1:10474738-10514662,-,-,0,0,-3.321928095,0,0,0.805841079,1,no,0,0,0
5856,0,LOC102033946,mRNA,NW_005054347.1:5113828-5241080,+,-,0,0,-3.321928095,0,0,0.824906872,1,no,0,0,0
10778,1,NRXN1,mRNA,NW_005054405.1:1337628-2009251,+,-,1,1,0,0.565,0.565,0.742089495,1,no,0,0,0
12255,-100,RASGEF1B,mRNA,NW_005054304.1:4798239-4825234,-,-,2,3,1.321928095,-1,1,0.311875164,1,no,0,1,0
2987,0,EDAR,mRNA,NW_005054315.1:4695924-4767745,+,-,1,0,-1,0.623,0.623,0.792968842,1,no,0,0,0
6478,124,LOC102037986,mRNA,NW_005054324.1:4255311-4277751,+,-,2,1,0.584962501,1.236,1.236,0.319727949,1,no,0,1,0
14245,-1,TCIM,mRNA,NW_005054535.1:656528-657036,-,-,0,1,-1,-0.838,0.838,0.536578687,1,no,0,0,0
10087,-65,MPZL2,mRNA,NW_005054447.1:548745-554233,+,-,3,5,2,-0.653,0.653,0.419371816,1,no,0,0,0
12850,0,SATB2,mRNA,NW_005054298.1:25618603-25726600,+,-,1,0,-1,1.619,1.619,0.228768975,1,no,0,1,0
8992,18,LOC115949076,snoRNA,NW_005054741.1:104228-104311,-,-,3,3,1.584962501,0.18,0.18,0.801733683,1,no,0,0,0
2443,45,CUX2,mRNA,NW_005054362.1:3386586-3403291,+,-,8,6,2.807354922,0.446,0.446,0.672373395,1,no,0,0,0
12050,-1,PTPRT,mRNA,NW_005054502.1:39651-385560,-,-,0,1,-1,-1.084,1.084,0.665692275,1,no,0,1,0
120,51,ACOD1,mRNA,NW_005054327.1:3630353-3637323,-,-,19,13,4,0.507,0.507,0.529649263,1,no,2,0,0
11152,0,PCGF2,mRNA,NW_005054648.1:44359-48373,+,-,2,0,0,1.995,1.995,0.226893593,1,no,0,1,0
6582,147,LOC102038599,mRNA,NW_005054566.1:72921-82915,+,-,4,2,1.584962501,1.473,1.473,0.138703656,1,no,0,1,0
1129,5,BRD3OS,mRNA,NW_005054329.1:3405505-3408699,-,-,2,2,1,0.045,0.045,0.959798123,1,no,0,0,0
8995,63,LOC115949081,mRNA,NW_005054743.1:11562-13439,+,-,5,3,2,0.631,0.631,0.432283108,1,no,0,0,0
9148,1,LOC115949278,snoRNA,NW_005055359.1:4039-4117,+,-,1,1,0,0.614,0.614,0.779367231,1,no,0,0,0
9342,0,LOC115949483,snoRNA,NW_005054302.1:10286208-10286335,+,-,0,0,-3.321928095,0,0,0.57203055,1,no,0,0,0
14934,0,TRNAG-GCC,tRNA,NW_005054343.1:3054089-3054159,+,-,0,0,-3.321928095,0,0,0.750950155,1,no,0,0,0
9523,143,LRRN2,mRNA,NW_005054681.1:41818-46359,+,-,10,4,2.807354922,1.425,1.425,0.070281562,1,no,1,1,0
587,-2,APOH,mRNA,NW_005054395.1:2919870-2928200,+,-,0,1,-1,-1.722,1.722,0.383188336,1,no,0,1,0
2476,-12,DAB2,mRNA,NW_005054401.1:1854677-1876941,-,-,2,2,1,-0.118,0.118,0.89742763,1,no,0,0,0
3951,-1,GDPD2,mRNA,NW_005054314.1:7505722-7517256,+,-,0,1,-1,-1.032,1.032,0.706186489,1,no,0,1,0
7289,41,LOC102043201,mRNA,NW_005054462.1:1071478-1150546,+,-,3,2,1.321928095,0.407,0.407,0.570120258,1,no,0,0,0
11069,0,PAMR1,mRNA,NW_005054312.1:7474283-7529755,+,-,2,0,0,1.876,1.876,0.109114349,1,no,0,1,0
671,0,ARHGEF37,mRNA,NW_005054308.1:11036144-11047039,+,-,0,0,-3.321928095,0,0,0.822477738,1,no,0,0,0
