Order,Page ,Date ,island,Location,Species,band,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,Nest ID ,Parent,Blood,Plasma,Slide ,Sperm,Park Blood,Trizol Blood,Molt,POX,HCT 1 ,HCT 2 ,HMCT %,Notes
128,11,2/23/2016,santa cruz,Los Gemelos,OLI,SHX,0,,U,,U,4.95,3.57,4.01,18.27,49.0,8.7,,0,1,1,0,0,1,0,0,,,,,"deformed beak (crossbill and enlarged nares), fledling, band number wrong "
129,12,2/23/2016,santa cruz,Los Gemelos,PAR,SH610,1,,F,,BP4,7.13,6.71,5.93,20.35,59.0,12.8,,0,1,1,0,0,1,0,0,,,,,"Recap 2015, measured JY"
130,12,2/23/2016,santa cruz,Los Gemelos,PAR,SH655,0,,F,,BP5,7.09,6.51,6.13,19.60,60.0,12.4,,0,1,1,0,0,1,0,1,,,,,no molt
131,12,2/23/2016,santa cruz,Los Gemelos,GAFL,SH698,0,,U,,,10.36,,,20.23,68.0,14.0,,0,0,0,0,0,0,0,1,U,,,,no pox/molt
132,12,2/23/2016,santa cruz,Los Gemelos,GAFL,SH656,0,,U,,BP0/CP0,11.09,,,21.19,69.0,13.9,,0,0,0,0,0,0,0,0,,,,,
133,12,2/23/2016,santa cruz,Los Gemelos,PAR,SH657,0,,F,,BP3,7.82,6.20,5.63,18.41,56.0,12.8,,0,1,1,0,0,1,0,1,I,,,,"pox on feet, no molt"
134,12,2/23/2016,santa cruz,Los Gemelos,OLI,SH621,0,,F,,BP4,7.54,4.10,6.50,20.33,53.0,9.7,,0,1,1,0,0,1,0,0,I,,,,pox on left tarsus and foot
135,12,2/23/2016,santa cruz,Los Gemelos,GAFL,SH697,0,,U,,BP0/CP0,10.32,,,20.18,66.5,13.4,,0,0,0,0,0,0,0,1,,,,,"weird growth on neck, lice back of head, no molt"
136,12,2/24/2016,santa cruz,Gondor,SCA,SH1235,0,,U,0,BP0/CP0,14.86,8.57,8.07,21.63,65.0,20.4,,0,1,1,0,0,1,0,1,,,,,"molt: p7s, s1s, body "
137,12,2/24/2016,santa cruz,Gondor,FUL,SH696,0,,M,4,CP2,8.60,7.12,6.43,18.63,61.0,13.2,,0,1,1,0,0,1,0,1,,,,,molt: p5s
138,12,2/24/2016,santa cruz,Gondor,FOR,SH1236,0,,U,,CP0/BP0,11.07,10.49,9.25,20.36,65.5,19.3,,0,1,1,0,0,1,0,1,,,,,no molt
139,12,2/24/2016,santa cruz,Gondor,FOR,SH1237,0,,U,,BP0/CP0,11.24,11.70,9.27,20.47,64.0,18.7,,0,1,1,0,0,1,0,1,,,,,"molt:S3L, P4,6R, body molt, eggs on nape"
140,12,2/24/2016,santa cruz,Gondor,PAR,SH695,0,,M,,CP0,7.74,6.94,6.29,21.09,62.0,12.7,,0,1,1,0,0,1,0,1,I,,,,"light pox on feet, motl: P3-4S"
141,13,2/24/2016,santa cruz,Gondor,FUL,SH694,0,,M,3,CP0/BP0,8.20,7.19,6.51,19.55,61.5,14.4,,0,1,1,0,0,1,0,1,,,,,"molt: p6s, body molt"
142,13,2/24/2016,santa cruz,Gondor,FOR,SH1238,0,,U,0,CP0/BP0,11.18,10.54,8.92,19.81,64.0,19.5,,0,1,1,0,0,1,0,1,I,,,,"pox lesion almost healed, moltS3L, S5R"
143,13,2/24/2016,santa cruz,Gondor,FUL,SH693,0,,U,,CP0/BP0,7.01,6.54,6.01,19.01,55.5,11.6,,0,1,1,0,0,1,0,1,,,,,"body molt- P2-3S, rectrices"
144,13,2/24/2016,santa cruz,Gondor,FOR,SH1239,0,,U,0,CP0/BP0,11.20,10.60,9.25,20.38,68.5,18.3,,0,1,1,0,0,1,0,1,I,,,,"Lots of pox, molt: p2L, lesion sampled"
145,13,2/24/2016,santa cruz,Gondor,FOR,SH1240,0,,U,0,CP0/BP0,11.61,10.46,9.40,20.16,65.5,19.1,,0,1,1,0,0,1,0,1,I,,,,"Lesion sampled, molt: p9s,p1,5R"
146,13,2/24/2016,santa cruz,Gondor,FOR,SH1241,0,,U,0,CP0/BP0,11.42,10.48,9.28,20.65,66.0,19.5,,0,1,1,0,0,1,0,1,R,,,,"Revcovered pox lesion on tarsus, p6R, p7L, body molt"
147,13,2/24/2016,santa cruz,Gondor,FOR,SH1242,0,,U,0,CP0/BP0,10.88,9.30,8.18,20.10,64.5,15.7,,0,1,1,0,0,1,0,1,I,,,,potentially small lesion on foot p5s
148,13,2/24/2016,santa cruz,Gondor,FOR,SH1243,0,,M,2,CP1,11.52,11.40,9.43,21.86,68.5,,,0,1,1,0,0,1,0,1,I,,,,"pox, molt: p3-4S, p3R, p2L"
149,13,2/25/2016,santa cruz,Los Gemelos- Sabine,PAR,SH658,0,"Purple/blue,Light blue, pink",M,,CP5,7.24,7.01,6.41,19.95,63.0,12.7,,0,1,1,0,1,1,0,1,,,,,"no molt, took sperm sample"
150,13,2/25/2016,santa cruz,Los Gemelos- Sabine,PAR,SH659,0,"Red/Bk, G, R/Bk",M,,CP5,7.85,6.68,5.30,20.43,69.0,12.4,,0,1,1,0,0,1,0,1,I,,,,"pox, molt: p2L "
151,13,2/25/2016,santa cruz,Los Gemelos- Sabine,PAR,SK3526,1,,F,,BP5,6.93,7.03,6.29,18.65,60.0,13.2,,0,1,1,0,0,1,0,1,I,,,,pox 
152,13,2/25/2016,santa cruz,Los Gemelos- Sabine,GAMO,DC711,0,SBlRW,M,,CP4,15.26,,,36.56,110.0,49.2,,0,1,1,0,1,1,0,1,,,,,
153,14,2/25/2016,santa cruz,Los Gemelos- Sabine,PAL,SH1244,0,,F,,BP4,11.59,7.54,7.43,23.49,66.0,23.8,,0,1,1,0,0,1,0,1,,,,,"molt: P1-2L, P1R"
154,14,2/25/2016,santa cruz,Los Gemelos- Sabine,PAL,BL3O7,1,Bl-O,M,,CP4,11.89,8.91,7.92,22.82,70.0,24.4,,0,1,1,0,0,1,0,1,U,,,,"molt: p1R, back of head, no pox"
155,14,2/25/2016,santa cruz,Los Gemelos- Sabine,OLI,SH660,1,XP-G,U,,,6.96,3.61,5.12,21.58,52.5,10.9,,0,1,1,0,0,1,0,0,,,,,HY by plumage
156,14,2/25/2016,santa cruz,Los Gemelos- Sabine,CRA,SH1245,0,,M,,CP2,11.61,13.40,10.41,23.05,82.0,24.7,,0,1,1,0,0,1,0,0,I,,,,Pox on both feet 
157,14,2/26/2016,santa cruz,Rivendale,GAMO,DC712,0,BkGWS,F,,see note,17.57,,,31.64,101.0,43.4,95,0,1,1,0,0,1,0,1,I,18.62,46.65,0.399143,"Pox on right tarsus, no bands on right tarsus, chipped overhang, brood patch growing in, molt: P1S"
158,14,2/26/2016,santa cruz,Rivendale,FOR,SH1246,0,,U,0,CP0/BP0,11.83,11.26,9.25,21.02,64.5,20.4,,0,1,1,0,0,1,0,1,U,,,,"measured AS, no pox, some body molt"
159,14,2/26/2016,santa cruz,Rivendale,FUL,SH661,0,,M,2,CP1,8.12,8.01,6.88,19.59,62.0,15.2,,0,1,1,1,0,1,0,0,U,,,,"Measured AS, no pox, molt: P6L, P7R, P2L, body/head"
160,14,2/26/2016,santa cruz,Rivendale,GAMO,DC713,0,SWRG,F,,BP5,14.43,,,32.25,105.0,43.9,?,0,1,1,1,0,1,0,1,U,22.68,50.88,0.445755,"Netted at 95, unclear if pair, no molt or pox "
161,14,2/27/2016,santa cruz,AZ,GAMO,DC714,0,GBlSG,F,,BP5,14.32,,,32.50,98.5,41.8,24,1,1,1,1,0,1,0,1,I,20.44,49.27,0.414857,"12 day old chicks, pox, molt: P1R"
162,14,2/29/2016,santa cruz,UR,FUL,SH693,0,,U,,,8.29,6.54,5.68,20.13,58.5,13.3,,0,0,0,0,0,0,0,0,U,,,,"Measured AH, no blood, no pox "
163,14,2/29/2016,santa cruz,UR,FOR,SH1247,0,,U,0,BP0/CP0,11.88,10.25,9.54,22.70,66.0,18.1,,0,1,1,0,0,1,0,1,I,,,,"Pox on R tarsus, molt: P3L, P2,3,5,R"
164,14,2/29/2016,santa cruz,UR,FOR,SH1248,0,,U,0,BP0/CP0,11.85,11.79,9.95,21.84,67.5,,,0,1,1,0,0,1,0,0,U,,,,"No pox, missing mass, measured AS"
165,15,2/29/2016,santa cruz,UR,PAR,SH662,0,,U,0,BP0/CP0,7.83,6.95,6.42,20.24,62.0,10.4,,0,1,1,0,0,1,0,1,,,,,"molt: P9S, P8,7L"
166,15,3/2/2016,santa cruz,TT,FOR,SH1249,0,,M,3,BP0/CP0,13.86,16.44,12.91,22.40,79.0,29.8,,0,1,1,1,0,1,0,1,,25.04,60.84,0.411571,"dry skin, slight body molt"
167,15,3/4/2016,santa cruz,Rohan,GAMO,DC718,0,SBLRW,U,,BP0/CP0,14.64,,,35.45,104.0,41.4,,0,1,1,0,0,1,0,0,,15.18,39.25,0.386752,"Probably 53 ledgling, found in 92 terr, enlarged nares"
168,15,3/4/2016,santa cruz,Rohan,SCA,SH1250,0,,U,0,BP0/CP0,13.29,7.83,7.16,22.92,66.0,19.8,,0,1,1,0,0,1,0,1,,,,,"No molt, measured AH"
169,15,3/4/2016,santa cruz,Rohan,CRA,SH1251,0,,U,,BP0/CP0,10.42,11.31,9.34,25.41,77.5,29.8,,0,1,1,0,0,1,0,1,,,,,"Measured AS, body molt"
170,15,3/4/2016,santa cruz,Rohan,FOR,SH1252,0,,M,3,BP0/CP0,11.31,12.20,10.12,22.60,68.0,22.4,,0,1,1,0,0,1,0,0,,,,,Measured AH
171,15,3/4/2016,santa cruz,Rohan,FOR,SH1253,0,,U,0,BP0/CP0,12.01,11.08,9.88,21.78,72.0,21.0,,0,1,1,0,0,1,0,1,,,,,"molt: P9L, S2-3R, some body and head molt"
172,15,3/7/2016,santa cruz,Shire,FUL,SH663,0,,M,1,BP0/CP0,9.19,6.94,6.50,20.35,60.5,14.0,,0,1,1,0,0,1,0,1,U,,,,"molt: P7-9S, S4R, no pox "
173,15,3/7/2016,santa cruz,Shire,FOR,SH1254,0,,M,4,BP0/CP0,11.70,10.10,8.67,21.64,67.0,20.1,,0,1,1,0,0,1,0,1,R,,,,"Recovred pox, molt: body and head, P6L"
174,15,3/7/2016,santa cruz,Shire,FOR,SH1255,0,,M,1,BP0/CP0,11.54,11.91,9.80,20.67,70.0,19.7,,0,1,1,0,0,1,0,1,,,,,"Measured AS, molt: P9,8L, S1L, S1-2R, body and wing coverts"
175,15,3/7/2016,santa cruz,Shire,FUL,SH664,0,,U,0,BP0/CP0,7.82,7.43,6.64,20.05,58.5,12.1,,0,1,1,0,0,1,0,1,I,,,,"pox on feet, missing toenail, body molt S2L, P6R"
176,15,3/7/2016,santa cruz,Shire,PAR,SH665,0,,U,,BP0/CP0,7.38,6.38,6.24,21.53,59.5,12.2,,0,1,1,1,0,1,0,1,I,,,,"pox on toes/wing, enlarged nares, body head molt"
177,16,3/7/2016,santa cruz,Shire,FUL,SH666,0,,U,0,BP0/CP0,9.29,7.32,6.75,21.42,63.0,15.2,,0,1,1,1,0,0,0,1,R,,,,"Recovered pox, missing 3 claws, molt: p8-9,3R, body/head"
178,16,3/7/2016,santa cruz,Shire,GAMO,DC452,1,WBlSBk,M,,CP2,15.77,,,37.29,115.0,53.3,108,1,1,1,0,0,1,0,1,U,24.25,69.18,0.35,"No pox, molt: rectrices, body, P1-5LS1, P4,3R"
179,16,3/7/2016,santa cruz,Shire,PAR,SH667,0,,M,,,7.51,6.8,5.98,19.49,64.0,8.2,,0,1,1,0,0,1,0,1,I,,,,"Big pox on feet, collected, molt: P6L, P5R, measured JY"
180,16,3/7/2016,santa cruz,Shire,FOR,SH1256,0,,M,2,,11.54,10.92,9.5,22.81,68.0,14.1,,0,1,1,0,0,1,0,1,R,,,,"Recovered pox missing nail hallux, molt: P1-5RS"
181,16,3/11/2016,santa cruz,Rivendale,FUL,SH668,0,,M,5,BP0/CP1,9.15,7.55,6.74,19.23,65.0,9.4,,0,1,1,0,0,1,0,1,,,,,"Measured AS, P5S, body molt"
182,16,3/11/2016,santa cruz,Rivendale,FUL,SH669,0,,M,5,BP0/CP0,8.38,8.11,7.09,8.99,65.0,9.7,,0,1,1,0,0,1,0,1,,,,,"Measured AS, molt: P5L, body and rectrices"
183,16,3/11/2016,santa cruz,Rivendale,FUL,SH692,0,,M,5,BP0/CP0,8.13,7.02,6.49,20.81,62.0,9.1,,0,1,1,0,0,1,0,1,R,,,,"Measured AH, missing toenail L, recovered pox, molt: body and head, T1-2L, T1R"
184,16,3/11/2016,santa cruz,Rivendale,FOR,SH1257,0,,U,0,BP0/CP0,11.16,10.6,9.25,20.99,71.0,19.5,,0,1,1,0,0,1,0,1,,,,,"measured JY, no molt"
185,16,3/11/2016,santa cruz,Gondor,FUL,SH670,0,,M,1,BP0/CP0,8.29,7.4,7.12,19.24,64.0,10.8,,0,1,1,0,0,1,0,1,,,,,"molt: P7S, slight body molt"
186,16,3/11/2016,santa cruz,Gondor,FUL,SH691,0,,M,3,BP0/CP0,8.55,6.88,6.86,19.79,61.5,12.9,,0,1,1,0,0,1,0,1,,,,,"Measured AH, head and body molt"
187,16,3/11/2016,santa cruz,Gondor,FOR,SH1259,0,,U,0,BP0/CP0,11.6,9.65,8.6,21.73,63.5,17.6,,0,1,1,0,0,0,0,1,,,,,"Measured AH ,molt: P1-3L, P1-2R, rectrices, body and head"
188,16,3/11/2016,santa cruz,Gondor,FUL,SH671,0,,U,0,BP0/CP0,9.05,7.4,6.97,19.72,59.5,14.9,,0,1,1,0,0,1,0,1,,,,,"Molt: P8-9L, S1R, body, head, rectrices, measured AS"
189,17,3/11/2016,santa cruz,Gondor,FOR,SH1260,0,,M,3,CP1/BP0,10.38,10.2,8.29,19.29,67.0,16.9,,0,1,1,0,0,1,0,1,U,,,,"Measured AS, molt: p9s, rec, body head, strange toenail, not pox"
190,17,3/12/2016,santa cruz,Rivendale,SCA,SH1261,0,,M,1,CP0/BP0,12.9,8.73,7.91,19.28,66.0,19.7,,0,1,1,0,0,1,0,1,,,,,"molt: p4r, p5s, slight body"
191,17,3/12/2016,santa cruz,Rivendale,FOR,SH1262,0,,U,0,CP0/BP0,11.27,9.85,8.19,20.54,68.0,18.9,,0,1,1,0,0,1,0,1,,,,,"molt: p4R, body and head"
192,17,3/12/2016,santa cruz,Rivendale,GAMO,DC031,1,BkRYS,F,,CP0/BP0,15.56,,,35.82,102.0,47.0,109,0,1,1,1,0,1,0,1,U,22.95,55.61,0.412695558,"hole through septum, no pox, molt: p2-5s, tail, body"
193,17,3/12/2016,santa cruz,Rivendale,GAMO,DC719,1,BLWSG,M,,CP0/BP0,15.87,,,37.47,110.0,54.6,109,0,1,1,0,0,1,0,1,I,28.23,67.41,0.418780596,"pox healing (collected) molt: p2-4s, tail, body"
194,17,3/12/2016,santa cruz,Rivendale,FUL,SH672,0,,U,0,CP0/BP0,8.32,7.37,6.64,19.05,61.5,14.4,,0,1,1,0,0,1,0,1,I,,,,"pox on left foot, missing toe on left foot, measured as, molt: p5r, body tail head"
195,17,3/12/2016,santa cruz,Rivendale,CRA,SH1263,0,,U,,CP0/BP0,9.97,11.23,9.44,25.2,81.5,30.9,,0,1,1,0,0,1,0,1,R,,,,"measured AS, molt: body, recovered pox, deformed toe"
196,17,3/12/2016,santa cruz,Rohan,GAMO,DC720,0,BLSRGy,U,,fledgling,13.84,,,31.73,96.0,40.5,53?,0,0,0,1,0,1,0,1,,25.73,58.08,0.44,"may be fledgling from 53, small, molting head nad throat"
197,17,3/13/2016,santa cruz,Gondor,FUL,SH673,0,,M,2,CP0/BP0,8.45,7.64,6.44,19.25,60.5,14.5,,0,0,0,0,0,0,0,0,I,,,,"measured AS, pox, no blood"
198,17,3/13/2016,santa cruz,Gondor,FOR,SH1264,0,,U,0,CP0/BP0,11.05,10.52,9.03,20.54,67.0,18.9,,0,1,1,0,0,1,0,1,I,,,,"Measured AS pox, no blod, pox sampled"
199,17,3/13/2016,santa cruz,Gondor,FOR,SH1265,0,,M,1,CP0/BP0,11.43,11.11,10.12,20.62,69.0,21.9,,0,1,1,0,0,1,0,1,R,,,,"Healed pox missing toe, measured A.S., molt p4S, body tail head"
200,17,3/13/2016,santa cruz,Gondor,FOR,SH1266,0,,M,1,CP0/BP0,13.24,13.72,11.33,21.73,71.5,26.6,,0,1,1,0,0,1,0,1,U,,,,"no pox, p6s molt"
201,18,3/13/2016,santa cruz,Gondor,FOR,SH1267,0,,U,0,CP0/BP0,11.59,12.05,9.60,19.77,69.5,19.2,,0,1,1,0,0,1,0,1,,,,,no molt
202,18,3/13/2016,santa cruz,Gondor,GAMO,DC418,1,GBkSG,U,,CP0/BP0,14.95,,,32.02,92.0,42.2,,0,1,1,0,0,1,0,1,,10.93,29.28,0.37,"molt: p6r, p2l, head tail hole through septum, m131 2015"
203,18,3/13/2016,santa cruz,Gondor,PAR,SH674,0,,U,,CP0/BP0,7.33,6.83,6.26,18.92,61.0,12.7,,0,1,1,0,0,1,0,1,,,,,"maybe hatch year, molt: head tail body"
204,18,3/13/2016,santa cruz,Gondor,GAMO,DC722,0,SGyBlO,F,,CP0/BP0,14.96,,,36.36,102.5,52.2,115,0,1,1,0,0,1,0,1,U,20.53,47.76,0.43,"molt: p6S, tail, body, no pox, "
205,18,3/13/2016,santa cruz,Gondor,GAMO,DC723,0,RBkSBl,M,,CP0/BP0,15.44,,,34.77,105.0,41.0,115,0,1,1,0,0,1,0,1,U,24.84,60.72,0.41,"molt: p56R, tail, body, head P5,6L"
206,18,3/13/2016,santa cruz,Gondor,GAMO,DC724,0,BlSYBk,M,,CP3,16.40,,,34.35,109.0,51.9,115,0,1,1,0,0,1,0,1,U,26.40,66.59,0.40,"molt: body, p2-3S"
207,18,3/13/2016,santa cruz,Gondor,SCA,SH1269,0,,U,0,BP0/CP0,13.24,7.92,7.49,21.30,67.0,18.8,,0,1,1,0,0,1,0,1,U,,,,"molt: body, S2L, no pox"
208,18,3/15/2016,santa cruz,pony,GAMO,DC725,0,GySWG,M,,CP1,15.70,,,35.03,108.0,50.6,138,0,1,1,1,0,1,0,1,,24.13,62.70,0.38,"Unknown if breeding, enlarged nares, molt: p6s, coverts,body"
209,18,3/15/2016,santa cruz,pony,PAR,SH801,0,,U,,CP0/BP0,7.04,6.73,6.23,21.37,60.5,11.9,,0,1,1,0,0,1,0,1,,22.29,58.19,0.38,"body molt, head molt"
210,18,3/17/2016,santa cruz,Shire,GAMO,DC430,1,GWSGy,M,,CP2,15.23,,,37.19,112.0,46.7,42,0,1,1,0,0,1,0,1,R,20.14,56.94,0.35,"Nested early in season, potter trapped on raod, healed pox, molt: tail-body"
211,18,3/17/2016,santa cruz,Shire,GAMO,DC726,0,YWOS,U,,,14.50,,,35.16,105.0,43.7,129,0,1,1,0,0,1,0,1,U,,,,"Fledgie 129-2016, enlarged nares, no pox"
212,18,3/17/2016,santa cruz,Shire,PAR,SH802,0,,U,,BP0/CP0,6.92,6.66,6.23,18.47,61.5,11.6,,0,1,1,0,0,1,0,1,U,,,,"no pox, nares enlarged, no molt"
213,19,3/17/2016,santa cruz,Rivendale,FUL,SH803,0,,F,0,BP1/CP0,8.38,6.94,6.20,20.00,59.5,12.7,,0,1,1,1,0,1,0,1,R,,,,"recovered pox, molt: p4-5R, P5L, head"
214,19,3/17/2016,santa cruz,Rivendale,FUL,SH804,0,,U,0,BP0/CP0,8.77,7.74,6.43,20.48,64.0,12.8,,0,1,1,1,0,1,0,1,U,,,,"measured AS, P9,8S"
215,19,3/17/2016,santa cruz,Rivendale,FUL,SH805,0,,M,4,BP0/CP0,9.08,7.76,7.15,19.46,63.0,14.4,,0,1,1,1,0,1,0,1,U,,,,"Measured AS P9-7S, head molt"
216,19,3/17/2016,santa cruz,Rivendale,FOR,SH1270,0,,M,1,BP0/CP0,11.77,10.72,9.51,22.26,77.5,21.3,,0,1,1,0,0,1,0,1,U,,,,"measured AH, head molt, body molt, rectrices"
217,19,3/17/2016,santa cruz,Rivendale,PAR,SH806,0,,F,,BP1,7.12,6.67,5.98,21.07,60.0,12.8,,0,1,1,0,0,1,0,1,U,,,,"molt: p4L, P3-5R, body, head, rectrices, AH "
218,19,3/17/2016,santa cruz,Rivendale,FOR,SH1271,0,,M,0,BP0/CP0,13.24,12.87,1037.00,21.78,72.0,24.6,,0,1,1,1,0,1,0,1,U,,,,"measured AS, chip in bill, molt: p7R"
219,19,3/17/2016,santa cruz,Rivendale,FOR,unbanded,0,,M,,,13.73,14.67,12.04,22.12,,21.2,,0,0,0,0,0,0,0,1,,,,,"escaped from hand, measured AS "
220,19,3/17/2016,santa cruz,Rivendale,FOR,SH1272,0,,U,0,BP0/CP0,10.87,11.08,9.73,20.61,65.0,19.6,,0,1,1,1,0,1,0,1,I,,,,"Measured AS, molt: p9-8s, head, body"
221,19,3/17/2016,santa cruz,Rivendale,FUL,JP671,1,Bk left ,M,5,CP0,8.62,7.18,6.49,20.25,61.5,13.4,,0,1,1,0,0,1,0,1,I,,,,"broken and rehealed toe, head molt, measured AH"
222,19,3/17/2016,santa cruz,Rivendale,SCA,SH1273,0,,M,3,BP0/CP0,15.15,9.26,8.01,19.82,69.5,22.0,,0,1,1,1,0,1,0,1,U,,,,molting
223,19,3/17/2016,santa cruz,Rivendale,GAMO,DC727,0,BlSGO,U,,BP0/CP0,16.38,,,33.85,101.5,48.3,2,0,1,1,1,0,1,0,1,I,21.61,55.76,0.39,"heavy pox on tarsi ~1 month ago, face pox sampled, heavy molt all tracts, born 2015 probably, bill doesn't close"
224,19,3/17/2016,santa cruz,Rivendale,GAMO,DC447,1,BkBkGS,M,,CP1,15.00,,,35.62,107.5,51.7,2,0,1,1,1,0,1,0,0,I,22.49,51.94,0.43,"pox on tarsi, lesion collected, molt-primary, body tail"
225,20,3/17/2016,santa cruz,Rivendale,GAMO,DC244,1,SGyYGy,F,,,16.05,,,36.61,,,2,0,1,1,1,0,1,0,1,U,17.85,44.44,,
226,20,3/17/2016,santa cruz,Rivendale,SCA,SH1274,0,,M,5,cp0,13.46,8.98,8.04,22.30,71.0,,,0,1,1,0,0,1,0,1,U,,,,"molt:P1s,P4l"
227,20,3/17/2016,santa cruz,Rivendale,FUL,SH807,0,,M,3,cp0,8.10,6.61,6.92,18.35,60.5,13.4,,0,1,1,0,0,1,0,1,U,,,,molt: s1-2s
228,20,3/17/2016,santa cruz,Rivendale,SCA,SH1275,0,,F,0,bp2,14.41,8.32,7.97,19.82,65.0,21.3,,0,1,1,1,0,1,0,1,U,,,,not molting
229,20,3/17/2016,santa cruz,Rivendale,FUL,SH808,0,,M,1,cp0,8.34,7.09,6.64,19.28,61.5,15.2,,0,1,1,1,0,1,0,0,R,,,,"no molt, looks like recovering pox lesion left tarsus"
230,20,3/18/2016,santa cruz,CRDS,CRA,SH1276,0,,,,,10.54,10.34,9.22,25.97,77.0,26.8,,0,1,1,0,0,1,0,0,U,,,,measured AH 
231,20,3/18/2016,santa cruz,CRDS,CRA,SH1277,0,,U,,BP0/CP0,9.86,11.51,9.41,21.44,76.0,27.0,,0,1,1,0,0,1,0,0,I,,,,naries enlarged
232,20,3/18/2016,santa cruz,CRDS,CRA,SH1278,0,,U,,BP0/CP0,10.11,11.32,9.84,25.75,77.5,26.9,,0,1,1,0,0,1,0,0,R,,,,missing eye and hallux
233,20,3/18/2016,santa cruz,CRDS,FUL,SH809,0,,M,3,,7.55,7.04,6.69,17.81,62.0,15.6,,0,1,1,0,0,1,0,0,U,,,,
234,20,3/18/2016,santa cruz,CRDS,CRA,SH1279,0,,M,,CP2,10.45,10.97,10.04,26.66,82.5,34.5,,0,1,1,1,0,1,0,0,U,,,,
235,20,3/18/2016,santa cruz,CRDS,CRA,SH1280,0,,M,,CP0,10.61,11.51,9.38,27.02,83.0,30.0,,0,1,1,1,0,1,0,0,R,,,,slightly misshapen toe
236,20,3/18/2016,santa cruz,CRDS,FUL,SH810,0,,M,1,CP0,8.57,7.48,6.84,18.25,61.0,12.7,,0,1,1,1,0,1,0,0,U,,,,
237,21,3/18/2016,santa cruz,CRDS,PAR,SH811,0,,F,,BP0,7.45,6.62,5.84,17.88,59.0,11.7,,0,1,1,1,0,1,0,0,U,,,,
238,21,3/18/2016,santa cruz,CRDS,FOR,SH1281,0,,M,1,CP0,11.10,10.97,9.38,20.31,70.0,18.7,,0,1,1,1,0,0,0,0,R,,,,small lesions
239,21,3/18/2016,santa cruz,CRDS,PAR,SH812,0,,M,,CP2,6.52,7.15,6.28,19.08,59.5,11.4,,0,1,1,0,0,1,0,0,U,,,,"tumor on abdomen, groove in beak"
240,21,3/18/2016,santa cruz,CRDS,FUL,SH813,0,,F,0,BP0,8.17,6.84,6.24,17.80,60.5,11.9,,0,1,1,1,0,1,0,1,U,,,,molting
241,21,3/18/2016,santa cruz,CRDS,FOR,SH1282,0,,M,5,CP1,12.07,12.47,10.04,19.67,57.5,21.1,,0,1,1,1,0,1,0,0,R,,,,
242,21,3/18/2016,santa cruz,CRDS,CRA,SH1283,0,,F,,BP0,10.19,10.91,9.44,28.96,78.0,30.5,,0,1,1,1,0,1,0,0,I,,,,"huge pox lesion on foot, sampled"
243,21,3/18/2016,santa cruz,CRDS,CRA,SH1284,0,,M,,CP0,10.26,11.27,9.97,26.45,83.5,30.5,,0,1,1,1,0,1,0,1,R,,,,molting
244,21,3/18/2016,santa cruz,CRDS,FUL,SH814,0,,M,3,CP0,8.00,7.58,6.56,20.04,61.0,14.0,,0,1,1,1,0,1,0,0,U,,,,
245,21,3/18/2016,santa cruz,CRDS,CRA,SH1285,0,,U,,BP0/CP0,9.92,10.50,9.09,25.40,79.5,27.7,,0,1,1,1,0,1,0,1,I,,,,"pox collected, molting"
246,21,3/18/2016,santa cruz,CRDS,SCA,SH1286,0,,M,4,BP0/CP0,15.62,9.15,8.52,21.85,72.0,19.6,,0,1,1,1,0,1,0,1,U,,,,"molt: p1L, AH"
247,21,3/18/2016,santa cruz,CRDS,SCA,SH1287,0,,M,4,CP0,13.99,8.23,7.36,21.69,67.0,18.0,,0,1,1,1,0,0,0,1,U,,,,"AH, molt body and head"
248,21,3/18/2016,santa cruz,CRDS,FOR,SH1288,0,,M,5,,11.96,11.09,10.58,20.90,60.5,21.8,,0,1,0,0,0,0,0,,,,,,no plasma saved
249,22,3/18/2016,santa cruz,CRDS,GAMO,JH009,1,SWBkG,M,,CP2,15.56,,,36.43,102.0,50.9,,0,1,1,0,0,1,0,0,I,,,,
250,22,3/18/2016,santa cruz,CRDS,CRA,JP4666,1,PSBkBk,M,,,10.15,11.32,10.00,26.74,80.0,31.1,,0,1,1,1,0,1,0,0,I,,,,"missing eye, some recovering pox, measured DV"
251,22,3/18/2016,santa cruz,CRDS,CRA,SH1289,0,,M,,CP0,10.18,11.56,10.13,29.58,83.5,33.6,,0,1,1,1,0,1,0,0,U,,,,"feet may be recovering from pox, measured DV"
252,22,3/18/2016,santa cruz,CRDS,SCA,SH1290,0,,U,0,BP0/CP0,15.28,9.43,7.42,22.35,69.5,19.8,,0,1,1,0,0,1,0,1,U,,,,not molting
253,23,3/19/2016,santa cruz,Gondor,FOR,KGSK2064,0,WSRR,F,0,BP0,11.61,10.43,9.24,23.60,66.0,21.1,,0,1,1,1,0,1,0,0,U,,,,Measured KG
254,23,3/19/2016,santa cruz,Gondor,FOR,SH1291,0,,U,0,BP0/CP0,10.70,9.98,8.99,21.21,70.0,19.5,,0,1,1,1,0,1,0,1,U,,,,"molting, measured AS"
255,23,3/19/2016,santa cruz,Gondor,FOR,KGSK2066,0,YSBkGy,F,0,BP0,12.52,12.62,10.62,28.18,69.0,22.2,,0,1,1,0,0,1,0,0,R,,,,Measured KG
